News Search interest
United States; 2012

Interest over time
Week,Pets & Animals
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+4%
2012-01-15 - 2012-01-21,-4%
2012-01-22 - 2012-01-28,-1%
2012-01-29 - 2012-02-04,+1%
2012-02-05 - 2012-02-11,-1%
2012-02-12 - 2012-02-18,+37%
2012-02-19 - 2012-02-25,-1%
2012-02-26 - 2012-03-03,-8%
2012-03-04 - 2012-03-10,-10%
2012-03-11 - 2012-03-17,+0%
2012-03-18 - 2012-03-24,+3%
2012-03-25 - 2012-03-31,+1%
2012-04-01 - 2012-04-07,-4%
2012-04-08 - 2012-04-14,+4%
2012-04-15 - 2012-04-21,+15%
2012-04-22 - 2012-04-28,+8%
2012-04-29 - 2012-05-05,+15%
2012-05-06 - 2012-05-12,+4%
2012-05-13 - 2012-05-19,-5%
2012-05-20 - 2012-05-26,+5%
2012-05-27 - 2012-06-02,-3%
2012-06-03 - 2012-06-09,-10%
2012-06-10 - 2012-06-16,+5%
2012-06-17 - 2012-06-23,-5%
2012-06-24 - 2012-06-30,-11%
2012-07-01 - 2012-07-07,+5%
2012-07-08 - 2012-07-14,+14%
2012-07-15 - 2012-07-21,+1%
2012-07-22 - 2012-07-28,+21%
2012-07-29 - 2012-08-04,-4%
2012-08-05 - 2012-08-11,-4%
2012-08-12 - 2012-08-18,+8%
2012-08-19 - 2012-08-25,-3%
2012-08-26 - 2012-09-01,-4%
2012-09-02 - 2012-09-08,+0%
2012-09-09 - 2012-09-15,-4%
2012-09-16 - 2012-09-22,+11%
2012-09-23 - 2012-09-29,+14%
2012-09-30 - 2012-10-06,-12%
2012-10-07 - 2012-10-13,+1%
2012-10-14 - 2012-10-20,+5%
2012-10-21 - 2012-10-27,+14%
2012-10-28 - 2012-11-03,-16%
2012-11-04 - 2012-11-10,+22%
2012-11-11 - 2012-11-17,+32%
2012-11-18 - 2012-11-24,+26%
2012-11-25 - 2012-12-01,-1%
2012-12-02 - 2012-12-08,+10%
2012-12-09 - 2012-12-15,+27%
2012-12-16 - 2012-12-22,+23%
2012-12-23 - 2012-12-29,+21%
2012-12-30 - 2013-01-05,+16%



Top searches
dog,100
dogs,35
zoo,35
lion,35
birds,35
cat,30
animal,30
mountain lion,25
angry birds,25
newtown,25
shark,20
pet,20
fish,15
puppies,15
horse,15
cats,15
whale,15
puppy,15
giant panda,15
newtown ct,10



Rising searches
angry birds space,Breakout
newtown connecticut,Breakout
sandy hook,Breakout
giant panda,+4,200%
newtown ct,+3,750%
newtown,+3,450%
dinosaurs,+250%
mountain lion,+250%
my little pony,+90%
petsmart,+90%



