YouTube Search interest
United States; 2012

Interest over time
Week,Pets & Animals
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+3%
2012-01-15 - 2012-01-21,-3%
2012-01-22 - 2012-01-28,-5%
2012-01-29 - 2012-02-04,-5%
2012-02-05 - 2012-02-11,-7%
2012-02-12 - 2012-02-18,-11%
2012-02-19 - 2012-02-25,-7%
2012-02-26 - 2012-03-03,-9%
2012-03-04 - 2012-03-10,-8%
2012-03-11 - 2012-03-17,-11%
2012-03-18 - 2012-03-24,-12%
2012-03-25 - 2012-03-31,-9%
2012-04-01 - 2012-04-07,-11%
2012-04-08 - 2012-04-14,-10%
2012-04-15 - 2012-04-21,-13%
2012-04-22 - 2012-04-28,-10%
2012-04-29 - 2012-05-05,-5%
2012-05-06 - 2012-05-12,-8%
2012-05-13 - 2012-05-19,-11%
2012-05-20 - 2012-05-26,-11%
2012-05-27 - 2012-06-02,-7%
2012-06-03 - 2012-06-09,-8%
2012-06-10 - 2012-06-16,-11%
2012-06-17 - 2012-06-23,-12%
2012-06-24 - 2012-06-30,-13%
2012-07-01 - 2012-07-07,-13%
2012-07-08 - 2012-07-14,-10%
2012-07-15 - 2012-07-21,-9%
2012-07-22 - 2012-07-28,-8%
2012-07-29 - 2012-08-04,-7%
2012-08-05 - 2012-08-11,-12%
2012-08-12 - 2012-08-18,-5%
2012-08-19 - 2012-08-25,-7%
2012-08-26 - 2012-09-01,-9%
2012-09-02 - 2012-09-08,-10%
2012-09-09 - 2012-09-15,-13%
2012-09-16 - 2012-09-22,-14%
2012-09-23 - 2012-09-29,-15%
2012-09-30 - 2012-10-06,-14%
2012-10-07 - 2012-10-13,-14%
2012-10-14 - 2012-10-20,-16%
2012-10-21 - 2012-10-27,-18%
2012-10-28 - 2012-11-03,-16%
2012-11-04 - 2012-11-10,-14%
2012-11-11 - 2012-11-17,-14%
2012-11-18 - 2012-11-24,-11%
2012-11-25 - 2012-12-01,-10%
2012-12-02 - 2012-12-08,-10%
2012-12-09 - 2012-12-15,-10%
2012-12-16 - 2012-12-22,-9%
2012-12-23 - 2012-12-29,-7%
2012-12-30 - 2013-01-05,-6%



Top searches
dog,100
cat,80
pitbull,40
birds,40
dogs,35
cats,30
puppies,30
angry birds,30
pony,30
lion,25
puppy,20
my little pony,20
horse,20
snake,20
honey badger,15
fish,15
kitten,15
wale,15
whistle,15
kittens,15



Rising searches
angry birds space,Breakout
flo rida whistle,Breakout
havana brown,+3,100%
dunkey,+900%
whistle,+300%
rainbow dash,+140%
pinkie pie,+90%
annoying orange,+60%
fluttershy,+60%
pony,+60%



