Google Shopping interest
United States; 2012

Interest over time
Week,Science
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+21%
2012-01-15 - 2012-01-21,+17%
2012-01-22 - 2012-01-28,+17%
2012-01-29 - 2012-02-04,+8%
2012-02-05 - 2012-02-11,+0%
2012-02-12 - 2012-02-18,+3%
2012-02-19 - 2012-02-25,+0%
2012-02-26 - 2012-03-03,+1%
2012-03-04 - 2012-03-10,-3%
2012-03-11 - 2012-03-17,-6%
2012-03-18 - 2012-03-24,-1%
2012-03-25 - 2012-03-31,-3%
2012-04-01 - 2012-04-07,-6%
2012-04-08 - 2012-04-14,-9%
2012-04-15 - 2012-04-21,-6%
2012-04-22 - 2012-04-28,-8%
2012-04-29 - 2012-05-05,-9%
2012-05-06 - 2012-05-12,-5%
2012-05-13 - 2012-05-19,-3%
2012-05-20 - 2012-05-26,-1%
2012-05-27 - 2012-06-02,-6%
2012-06-03 - 2012-06-09,-3%
2012-06-10 - 2012-06-16,-8%
2012-06-17 - 2012-06-23,-6%
2012-06-24 - 2012-06-30,-8%
2012-07-01 - 2012-07-07,-17%
2012-07-08 - 2012-07-14,-10%
2012-07-15 - 2012-07-21,-14%
2012-07-22 - 2012-07-28,-15%
2012-07-29 - 2012-08-04,-13%
2012-08-05 - 2012-08-11,-4%
2012-08-12 - 2012-08-18,+1%
2012-08-19 - 2012-08-25,+13%
2012-08-26 - 2012-09-01,+28%
2012-09-02 - 2012-09-08,+12%
2012-09-09 - 2012-09-15,+6%
2012-09-16 - 2012-09-22,-3%
2012-09-23 - 2012-09-29,+0%
2012-09-30 - 2012-10-06,-12%
2012-10-07 - 2012-10-13,-10%
2012-10-14 - 2012-10-20,-13%
2012-10-21 - 2012-10-27,-12%
2012-10-28 - 2012-11-03,-14%
2012-11-04 - 2012-11-10,-9%
2012-11-11 - 2012-11-17,-8%
2012-11-18 - 2012-11-24,-27%
2012-11-25 - 2012-12-01,-17%
2012-12-02 - 2012-12-08,-10%
2012-12-09 - 2012-12-15,-6%
2012-12-16 - 2012-12-22,-10%
2012-12-23 - 2012-12-29,-24%
2012-12-30 - 2013-01-05,-13%



Top searches
windows,100
windows 7,85
scale,40
robot,20
science,20
thermos,20
pond,15
microscope,15
windows 7 home,15
digital scale,15
dinosaur,15
scales,15
windows 7 professional,10
butterfly,10
big bang theory,10
windows 7 ultimate,10
protein,10
axis,10
string,10
oem windows 7,10



Rising searches
windows 8,+850%
drone,+110%
oem windows 7,+80%
windows 7 pro,+70%
big bang theory,+60%
periodic table,+60%
buckyballs,+50%
rocks,+50%
windows 7 professional,+50%
axis,+40%



