Image Search interest
United States; 2013

Interest over time
Week,Books & Literature
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-2%
2013-01-20 - 2013-01-26,+5%
2013-01-27 - 2013-02-02,+1%
2013-02-03 - 2013-02-09,-1%
2013-02-10 - 2013-02-16,+7%
2013-02-17 - 2013-02-23,+1%
2013-02-24 - 2013-03-02,+10%
2013-03-03 - 2013-03-09,+6%
2013-03-10 - 2013-03-16,+0%
2013-03-17 - 2013-03-23,+1%
2013-03-24 - 2013-03-30,+1%
2013-03-31 - 2013-04-06,+4%
2013-04-07 - 2013-04-13,+0%
2013-04-14 - 2013-04-20,+4%
2013-04-21 - 2013-04-27,+4%
2013-04-28 - 2013-05-04,+7%
2013-05-05 - 2013-05-11,+7%
2013-05-12 - 2013-05-18,+12%
2013-05-19 - 2013-05-25,+7%
2013-05-26 - 2013-06-01,+5%
2013-06-02 - 2013-06-08,+8%
2013-06-09 - 2013-06-15,+6%
2013-06-16 - 2013-06-22,-4%
2013-06-23 - 2013-06-29,-5%
2013-06-30 - 2013-07-06,-4%
2013-07-07 - 2013-07-13,-5%
2013-07-14 - 2013-07-20,-8%
2013-07-21 - 2013-07-27,-5%
2013-07-28 - 2013-08-03,-4%
2013-08-04 - 2013-08-10,-4%
2013-08-11 - 2013-08-17,-2%
2013-08-18 - 2013-08-24,+1%
2013-08-25 - 2013-08-31,+1%
2013-09-01 - 2013-09-07,+5%
2013-09-08 - 2013-09-14,+6%
2013-09-15 - 2013-09-21,+10%
2013-09-22 - 2013-09-28,+11%
2013-09-29 - 2013-10-05,+14%
2013-10-06 - 2013-10-12,+8%
2013-10-13 - 2013-10-19,+10%
2013-10-20 - 2013-10-26,+7%
2013-10-27 - 2013-11-02,+7%
2013-11-03 - 2013-11-09,+13%
2013-11-10 - 2013-11-16,+14%
2013-11-17 - 2013-11-23,+15%
2013-11-24 - 2013-11-30,+8%
2013-12-01 - 2013-12-07,+10%
2013-12-08 - 2013-12-14,+19%
2013-12-15 - 2013-12-21,+13%
2013-12-22 - 2013-12-28,+5%
2013-12-29 - 2014-01-04,+6%



Top searches
quotes,100
love,20
love quotes,15
funny,10
tumblr,10
life,10
quotes tumblr,10
funny quotes,10
life quotes,5
book,5
frases,5
sayings,5
quote,5
poems,5
quotes about life,5
cute quotes,5
amor,5
marilyn monroe,5
game of thrones,5
quotes about love,5



Rising searches
lorde,Breakout
bonnie and clyde,+200%
instagram quotes,+200%
jeff the killer,+200%
great gatsby,+150%
the great gatsby,+130%
frases,+100%
frases de amor,+80%
motivational quotes,+60%
de amor,+50%



