YouTube Search interest
United States; 2013

Interest over time
Week,Books & Literature
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+4%
2013-01-20 - 2013-01-26,+9%
2013-01-27 - 2013-02-02,-1%
2013-02-03 - 2013-02-09,-1%
2013-02-10 - 2013-02-16,-2%
2013-02-17 - 2013-02-23,-1%
2013-02-24 - 2013-03-02,+9%
2013-03-03 - 2013-03-09,+2%
2013-03-10 - 2013-03-16,+1%
2013-03-17 - 2013-03-23,+4%
2013-03-24 - 2013-03-30,+1%
2013-03-31 - 2013-04-06,+1%
2013-04-07 - 2013-04-13,+2%
2013-04-14 - 2013-04-20,-2%
2013-04-21 - 2013-04-27,+7%
2013-04-28 - 2013-05-04,+7%
2013-05-05 - 2013-05-11,+23%
2013-05-12 - 2013-05-18,+19%
2013-05-19 - 2013-05-25,+4%
2013-05-26 - 2013-06-01,+0%
2013-06-02 - 2013-06-08,+14%
2013-06-09 - 2013-06-15,+6%
2013-06-16 - 2013-06-22,-1%
2013-06-23 - 2013-06-29,-4%
2013-06-30 - 2013-07-06,-6%
2013-07-07 - 2013-07-13,-4%
2013-07-14 - 2013-07-20,-1%
2013-07-21 - 2013-07-27,+4%
2013-07-28 - 2013-08-03,+0%
2013-08-04 - 2013-08-10,-1%
2013-08-11 - 2013-08-17,+1%
2013-08-18 - 2013-08-24,+10%
2013-08-25 - 2013-08-31,+14%
2013-09-01 - 2013-09-07,+10%
2013-09-08 - 2013-09-14,+7%
2013-09-15 - 2013-09-21,+12%
2013-09-22 - 2013-09-28,+15%
2013-09-29 - 2013-10-05,+16%
2013-10-06 - 2013-10-12,+15%
2013-10-13 - 2013-10-19,+15%
2013-10-20 - 2013-10-26,+17%
2013-10-27 - 2013-11-02,+16%
2013-11-03 - 2013-11-09,+10%
2013-11-10 - 2013-11-16,+11%
2013-11-17 - 2013-11-23,+15%
2013-11-24 - 2013-11-30,+4%
2013-12-01 - 2013-12-07,+16%
2013-12-08 - 2013-12-14,+14%
2013-12-15 - 2013-12-21,+7%
2013-12-22 - 2013-12-28,-2%
2013-12-29 - 2014-01-04,+4%



Top searches
game of thrones,100
audiobook,55
book,55
harry potter,55
holy grail,50
gatsby,50
great gatsby,50
lorde,40
the great gatsby,30
poetry,30
romeo,25
emmanuel,25
romeo and juliet,25
hopsin,25
books,20
beware,20
pretty little liars,20
emmanuel hudson,20
vampire diaries,20
the hobbit,15



Rising searches
big sean beware,Breakout
lil dicky,Breakout
lorde,Breakout
holy grail,+3,900%
beware,+900%
lizzie bennet diaries,+130%
gatsby,+120%
great gatsby,+120%
sword art online,+120%
the great gatsby,+90%



