News Search interest
United States; 2013

Interest over time
Week,Business & Industrial
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+3%
2013-01-20 - 2013-01-26,+4%
2013-01-27 - 2013-02-02,+7%
2013-02-03 - 2013-02-09,-4%
2013-02-10 - 2013-02-16,+20%
2013-02-17 - 2013-02-23,+9%
2013-02-24 - 2013-03-02,+43%
2013-03-03 - 2013-03-09,+4%
2013-03-10 - 2013-03-16,-14%
2013-03-17 - 2013-03-23,-9%
2013-03-24 - 2013-03-30,-7%
2013-03-31 - 2013-04-06,-11%
2013-04-07 - 2013-04-13,-9%
2013-04-14 - 2013-04-20,-7%
2013-04-21 - 2013-04-27,-1%
2013-04-28 - 2013-05-04,+0%
2013-05-05 - 2013-05-11,-7%
2013-05-12 - 2013-05-18,-3%
2013-05-19 - 2013-05-25,-7%
2013-05-26 - 2013-06-01,-11%
2013-06-02 - 2013-06-08,-17%
2013-06-09 - 2013-06-15,-16%
2013-06-16 - 2013-06-22,-13%
2013-06-23 - 2013-06-29,-19%
2013-06-30 - 2013-07-06,-26%
2013-07-07 - 2013-07-13,-6%
2013-07-14 - 2013-07-20,-3%
2013-07-21 - 2013-07-27,-19%
2013-07-28 - 2013-08-03,-13%
2013-08-04 - 2013-08-10,-20%
2013-08-11 - 2013-08-17,-10%
2013-08-18 - 2013-08-24,-13%
2013-08-25 - 2013-08-31,-13%
2013-09-01 - 2013-09-07,-23%
2013-09-08 - 2013-09-14,-14%
2013-09-15 - 2013-09-21,-16%
2013-09-22 - 2013-09-28,-4%
2013-09-29 - 2013-10-05,-19%
2013-10-06 - 2013-10-12,-13%
2013-10-13 - 2013-10-19,-16%
2013-10-20 - 2013-10-26,-17%
2013-10-27 - 2013-11-02,-16%
2013-11-03 - 2013-11-09,-17%
2013-11-10 - 2013-11-16,-16%
2013-11-17 - 2013-11-23,-16%
2013-11-24 - 2013-11-30,-23%
2013-12-01 - 2013-12-07,-19%
2013-12-08 - 2013-12-14,-14%
2013-12-15 - 2013-12-21,-13%
2013-12-22 - 2013-12-28,-27%
2013-12-29 - 2014-01-04,-33%



Top searches
iphone,100
787,85
iphone 5s,85
energy,85
nasa,80
boeing,75
gas,70
boeing 787,65
business,55
oil,55
oscars,50
keystone pipeline,50
dreamliner,50
keystone xl pipeline,50
water,45
solar,45
787 dreamliner,45
boeing 787 dreamliner,40
usps,40
apple,40



Rising searches
boeing 787 dreamliner,Breakout
iphone 5s,+2,900%
787 dreamliner,+2,050%
dreamliner,+1,150%
keystone xl pipeline,+850%
iphone,+700%
boeing 787,+450%
keystone pipeline,+350%
787,+300%
oscars,+250%



