YouTube Search interest
United States; 2013

Interest over time
Week,Finance
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-5%
2013-01-20 - 2013-01-26,-4%
2013-01-27 - 2013-02-02,+1%
2013-02-03 - 2013-02-09,+2%
2013-02-10 - 2013-02-16,-7%
2013-02-17 - 2013-02-23,-5%
2013-02-24 - 2013-03-02,-6%
2013-03-03 - 2013-03-09,-9%
2013-03-10 - 2013-03-16,-7%
2013-03-17 - 2013-03-23,-7%
2013-03-24 - 2013-03-30,-9%
2013-03-31 - 2013-04-06,-11%
2013-04-07 - 2013-04-13,-12%
2013-04-14 - 2013-04-20,-10%
2013-04-21 - 2013-04-27,-9%
2013-04-28 - 2013-05-04,-11%
2013-05-05 - 2013-05-11,-13%
2013-05-12 - 2013-05-18,-12%
2013-05-19 - 2013-05-25,+1%
2013-05-26 - 2013-06-01,-2%
2013-06-02 - 2013-06-08,-7%
2013-06-09 - 2013-06-15,-6%
2013-06-16 - 2013-06-22,-9%
2013-06-23 - 2013-06-29,-5%
2013-06-30 - 2013-07-06,-5%
2013-07-07 - 2013-07-13,-1%
2013-07-14 - 2013-07-20,+1%
2013-07-21 - 2013-07-27,+6%
2013-07-28 - 2013-08-03,+10%
2013-08-04 - 2013-08-10,+7%
2013-08-11 - 2013-08-17,+22%
2013-08-18 - 2013-08-24,+16%
2013-08-25 - 2013-08-31,+10%
2013-09-01 - 2013-09-07,+2%
2013-09-08 - 2013-09-14,+1%
2013-09-15 - 2013-09-21,+9%
2013-09-22 - 2013-09-28,+7%
2013-09-29 - 2013-10-05,+2%
2013-10-06 - 2013-10-12,+9%
2013-10-13 - 2013-10-19,+6%
2013-10-20 - 2013-10-26,+5%
2013-10-27 - 2013-11-02,-5%
2013-11-03 - 2013-11-09,+1%
2013-11-10 - 2013-11-16,-1%
2013-11-17 - 2013-11-23,+2%
2013-11-24 - 2013-11-30,-6%
2013-12-01 - 2013-12-07,+2%
2013-12-08 - 2013-12-14,+0%
2013-12-15 - 2013-12-21,+4%
2013-12-22 - 2013-12-28,+1%
2013-12-29 - 2014-01-04,+6%



Top searches
mlp,100
payday,70
payday 2,50
syndicate,50
fx,45
banks,40
chase,40
geico,35
bts,25
accounting,20
everything gold,20
downton abbey,20
dishonored,15
lucky penny,15
stocks,15
lucky penny shop,15
stock market,15
inception,10
laina,10
options,10



Rising searches
lucky penny,Breakout
lucky penny shop,Breakout
payday 2,Breakout
payday,+350%
bts,+250%
everything gold,+250%
banks,+120%
stock market,+120%
geico,+50%
syndicate,+50%



