News Search interest
United States; 2013

Interest over time
Week,Food & Drink
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+0%
2013-01-20 - 2013-01-26,+2%
2013-01-27 - 2013-02-02,-4%
2013-02-03 - 2013-02-09,+0%
2013-02-10 - 2013-02-16,+0%
2013-02-17 - 2013-02-23,-2%
2013-02-24 - 2013-03-02,-8%
2013-03-03 - 2013-03-09,-6%
2013-03-10 - 2013-03-16,-6%
2013-03-17 - 2013-03-23,-6%
2013-03-24 - 2013-03-30,-6%
2013-03-31 - 2013-04-06,-12%
2013-04-07 - 2013-04-13,-6%
2013-04-14 - 2013-04-20,-21%
2013-04-21 - 2013-04-27,-4%
2013-04-28 - 2013-05-04,+13%
2013-05-05 - 2013-05-11,-2%
2013-05-12 - 2013-05-18,-4%
2013-05-19 - 2013-05-25,-15%
2013-05-26 - 2013-06-01,+0%
2013-06-02 - 2013-06-08,-2%
2013-06-09 - 2013-06-15,-8%
2013-06-16 - 2013-06-22,+48%
2013-06-23 - 2013-06-29,+108%
2013-06-30 - 2013-07-06,+33%
2013-07-07 - 2013-07-13,+8%
2013-07-14 - 2013-07-20,-4%
2013-07-21 - 2013-07-27,+6%
2013-07-28 - 2013-08-03,+10%
2013-08-04 - 2013-08-10,+6%
2013-08-11 - 2013-08-17,+19%
2013-08-18 - 2013-08-24,+6%
2013-08-25 - 2013-08-31,+4%
2013-09-01 - 2013-09-07,+13%
2013-09-08 - 2013-09-14,-2%
2013-09-15 - 2013-09-21,+2%
2013-09-22 - 2013-09-28,+6%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+2%
2013-10-13 - 2013-10-19,+6%
2013-10-20 - 2013-10-26,+4%
2013-10-27 - 2013-11-02,+10%
2013-11-03 - 2013-11-09,+10%
2013-11-10 - 2013-11-16,+8%
2013-11-17 - 2013-11-23,+6%
2013-11-24 - 2013-11-30,+58%
2013-12-01 - 2013-12-07,+8%
2013-12-08 - 2013-12-14,+8%
2013-12-15 - 2013-12-21,+10%
2013-12-22 - 2013-12-28,+50%
2013-12-29 - 2014-01-04,+15%



Top searches
paula deen,100
pizza,75
food,75
restaurant,70
recipes,50
restaurants,45
chicken,40
starbucks,35
beer,30
denver,25
mcdonalds,25
coffee,25
candy,25
pizza hut,20
wine,20
cheese,20
meat,20
taco,20
portland,20
chocolate,20



Rising searches
candy crush,Breakout
nigella lawson,+3,700%
nigella,+2,550%
vine,+1,450%
paula deen,+900%
candy,+120%
meat,+60%
pizza hut,+50%
dominos,+40%
fast food,+40%



