Image Search interest
United States; 2013

Interest over time
Week,Health
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-6%
2013-01-20 - 2013-01-26,-5%
2013-01-27 - 2013-02-02,-2%
2013-02-03 - 2013-02-09,-4%
2013-02-10 - 2013-02-16,-4%
2013-02-17 - 2013-02-23,-2%
2013-02-24 - 2013-03-02,+1%
2013-03-03 - 2013-03-09,-1%
2013-03-10 - 2013-03-16,-1%
2013-03-17 - 2013-03-23,-2%
2013-03-24 - 2013-03-30,-2%
2013-03-31 - 2013-04-06,+23%
2013-04-07 - 2013-04-13,+4%
2013-04-14 - 2013-04-20,+2%
2013-04-21 - 2013-04-27,+5%
2013-04-28 - 2013-05-04,+2%
2013-05-05 - 2013-05-11,+1%
2013-05-12 - 2013-05-18,+1%
2013-05-19 - 2013-05-25,-4%
2013-05-26 - 2013-06-01,-6%
2013-06-02 - 2013-06-08,-4%
2013-06-09 - 2013-06-15,-7%
2013-06-16 - 2013-06-22,-9%
2013-06-23 - 2013-06-29,-5%
2013-06-30 - 2013-07-06,-11%
2013-07-07 - 2013-07-13,-6%
2013-07-14 - 2013-07-20,-7%
2013-07-21 - 2013-07-27,-9%
2013-07-28 - 2013-08-03,-10%
2013-08-04 - 2013-08-10,-11%
2013-08-11 - 2013-08-17,-9%
2013-08-18 - 2013-08-24,-7%
2013-08-25 - 2013-08-31,-9%
2013-09-01 - 2013-09-07,-9%
2013-09-08 - 2013-09-14,-5%
2013-09-15 - 2013-09-21,-2%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+2%
2013-10-13 - 2013-10-19,-1%
2013-10-20 - 2013-10-26,-2%
2013-10-27 - 2013-11-02,-7%
2013-11-03 - 2013-11-09,-1%
2013-11-10 - 2013-11-16,+0%
2013-11-17 - 2013-11-23,+0%
2013-11-24 - 2013-11-30,-14%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,+0%
2013-12-15 - 2013-12-21,-11%
2013-12-22 - 2013-12-28,-23%
2013-12-29 - 2014-01-04,-14%



Top searches
weed,100
teeth,65
fat,55
cancer,55
eye,45
smoking,45
heart,40
herpes,40
glasses,35
plastic surgery,30
pain,25
marijuana,25
eyes,25
tooth,20
hospital,20
brain,20
braces,20
health,20
breast cancer,20
smoking weed,20



Rising searches
kevin ware,Breakout
kevin ware injury,Breakout
ware broken leg,Breakout
sloth meme,+1,750%
justin bieber,+300%
molly drug,+200%
insidious,+190%
bmi chart,+160%
down syndrome tiger,+160%
trypophobia,+160%



