YouTube Search interest
United States; 2013

Interest over time
Week,Health
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-2%
2013-01-20 - 2013-01-26,-3%
2013-01-27 - 2013-02-02,-5%
2013-02-03 - 2013-02-09,-3%
2013-02-10 - 2013-02-16,-7%
2013-02-17 - 2013-02-23,-2%
2013-02-24 - 2013-03-02,-2%
2013-03-03 - 2013-03-09,-3%
2013-03-10 - 2013-03-16,-3%
2013-03-17 - 2013-03-23,-3%
2013-03-24 - 2013-03-30,-7%
2013-03-31 - 2013-04-06,+69%
2013-04-07 - 2013-04-13,+2%
2013-04-14 - 2013-04-20,-2%
2013-04-21 - 2013-04-27,-2%
2013-04-28 - 2013-05-04,+0%
2013-05-05 - 2013-05-11,-3%
2013-05-12 - 2013-05-18,-5%
2013-05-19 - 2013-05-25,-8%
2013-05-26 - 2013-06-01,-8%
2013-06-02 - 2013-06-08,-8%
2013-06-09 - 2013-06-15,-12%
2013-06-16 - 2013-06-22,-8%
2013-06-23 - 2013-06-29,-14%
2013-06-30 - 2013-07-06,-12%
2013-07-07 - 2013-07-13,-10%
2013-07-14 - 2013-07-20,-10%
2013-07-21 - 2013-07-27,-8%
2013-07-28 - 2013-08-03,-10%
2013-08-04 - 2013-08-10,-14%
2013-08-11 - 2013-08-17,-12%
2013-08-18 - 2013-08-24,-8%
2013-08-25 - 2013-08-31,-14%
2013-09-01 - 2013-09-07,-8%
2013-09-08 - 2013-09-14,-3%
2013-09-15 - 2013-09-21,-7%
2013-09-22 - 2013-09-28,-5%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,-5%
2013-10-13 - 2013-10-19,-5%
2013-10-20 - 2013-10-26,-5%
2013-10-27 - 2013-11-02,-5%
2013-11-03 - 2013-11-09,-5%
2013-11-10 - 2013-11-16,-2%
2013-11-17 - 2013-11-23,-5%
2013-11-24 - 2013-11-30,-14%
2013-12-01 - 2013-12-07,-5%
2013-12-08 - 2013-12-14,-7%
2013-12-15 - 2013-12-21,-12%
2013-12-22 - 2013-12-28,-17%
2013-12-29 - 2014-01-04,+0%



Top searches
weed,100
lumineers,80
smoking,75
surgery,75
broken,70
kevin ware,55
fat,55
the lumineers,45
hey ho lumineers,40
pain,40
drugs,40
ware broken leg,35
amnesia,35
asmr,35
bong,35
marijuana,35
cancer,30
general hospital,30
lifehouse,30
cid,25



Rising searches
kevin ware,Breakout
kevin ware injury,Breakout
ware broken leg,Breakout
ware injury,Breakout
youtubers react,+3,150%
asmr,+200%
side effects,+200%
cid,+180%
morning routine,+150%
broken,+90%



