YouTube Search interest
United States; 2013

Interest over time
Week,Jobs & Education
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-1%
2013-01-20 - 2013-01-26,-3%
2013-01-27 - 2013-02-02,+4%
2013-02-03 - 2013-02-09,+0%
2013-02-10 - 2013-02-16,+5%
2013-02-17 - 2013-02-23,+20%
2013-02-24 - 2013-03-02,+11%
2013-03-03 - 2013-03-09,+8%
2013-03-10 - 2013-03-16,+4%
2013-03-17 - 2013-03-23,+4%
2013-03-24 - 2013-03-30,-1%
2013-03-31 - 2013-04-06,-1%
2013-04-07 - 2013-04-13,+4%
2013-04-14 - 2013-04-20,+0%
2013-04-21 - 2013-04-27,+7%
2013-04-28 - 2013-05-04,+4%
2013-05-05 - 2013-05-11,+4%
2013-05-12 - 2013-05-18,+1%
2013-05-19 - 2013-05-25,+0%
2013-05-26 - 2013-06-01,-5%
2013-06-02 - 2013-06-08,+1%
2013-06-09 - 2013-06-15,-3%
2013-06-16 - 2013-06-22,-5%
2013-06-23 - 2013-06-29,-8%
2013-06-30 - 2013-07-06,-11%
2013-07-07 - 2013-07-13,-7%
2013-07-14 - 2013-07-20,-7%
2013-07-21 - 2013-07-27,-7%
2013-07-28 - 2013-08-03,-1%
2013-08-04 - 2013-08-10,+0%
2013-08-11 - 2013-08-17,+5%
2013-08-18 - 2013-08-24,+16%
2013-08-25 - 2013-08-31,+14%
2013-09-01 - 2013-09-07,+17%
2013-09-08 - 2013-09-14,+16%
2013-09-15 - 2013-09-21,+25%
2013-09-22 - 2013-09-28,+18%
2013-09-29 - 2013-10-05,+18%
2013-10-06 - 2013-10-12,+14%
2013-10-13 - 2013-10-19,+18%
2013-10-20 - 2013-10-26,+24%
2013-10-27 - 2013-11-02,+32%
2013-11-03 - 2013-11-09,+17%
2013-11-10 - 2013-11-16,+18%
2013-11-17 - 2013-11-23,+20%
2013-11-24 - 2013-11-30,+4%
2013-12-01 - 2013-12-07,+17%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,+4%
2013-12-22 - 2013-12-28,-12%
2013-12-29 - 2014-01-04,-3%



Top searches
teacher,100
high school,100
guitar,85
substitute teacher,65
college,55
peele substitute teacher,35
abc,35
key and peele,35
monster high,30
abc song,30
guitar lesson,25
schoolhouse rock,25
test,25
highschool,25
fights,20
alphabet,20
mgk,20
school fights,15
guitar lessons,15
phoenix,15



Rising searches
vanoss,Breakout
substitute teacher,+350%
key and peele,+250%
peele substitute teacher,+250%
crash course,+200%
studying music,+140%
rad brad,+120%
teacher,+120%
study music,+110%
rad,+80%



