Google Shopping interest
United States; 2013

Interest over time
Week,Reference
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-4%
2013-01-20 - 2013-01-26,+0%
2013-01-27 - 2013-02-02,-1%
2013-02-03 - 2013-02-09,-9%
2013-02-10 - 2013-02-16,-10%
2013-02-17 - 2013-02-23,-17%
2013-02-24 - 2013-03-02,-13%
2013-03-03 - 2013-03-09,-13%
2013-03-10 - 2013-03-16,-13%
2013-03-17 - 2013-03-23,-15%
2013-03-24 - 2013-03-30,-18%
2013-03-31 - 2013-04-06,-9%
2013-04-07 - 2013-04-13,-6%
2013-04-14 - 2013-04-20,-8%
2013-04-21 - 2013-04-27,-10%
2013-04-28 - 2013-05-04,-12%
2013-05-05 - 2013-05-11,-12%
2013-05-12 - 2013-05-18,-12%
2013-05-19 - 2013-05-25,-13%
2013-05-26 - 2013-06-01,-6%
2013-06-02 - 2013-06-08,-6%
2013-06-09 - 2013-06-15,-14%
2013-06-16 - 2013-06-22,-13%
2013-06-23 - 2013-06-29,-4%
2013-06-30 - 2013-07-06,-9%
2013-07-07 - 2013-07-13,-6%
2013-07-14 - 2013-07-20,-4%
2013-07-21 - 2013-07-27,-3%
2013-07-28 - 2013-08-03,+0%
2013-08-04 - 2013-08-10,-3%
2013-08-11 - 2013-08-17,+4%
2013-08-18 - 2013-08-24,+17%
2013-08-25 - 2013-08-31,+28%
2013-09-01 - 2013-09-07,+17%
2013-09-08 - 2013-09-14,+19%
2013-09-15 - 2013-09-21,+19%
2013-09-22 - 2013-09-28,+17%
2013-09-29 - 2013-10-05,+23%
2013-10-06 - 2013-10-12,+18%
2013-10-13 - 2013-10-19,+13%
2013-10-20 - 2013-10-26,+17%
2013-10-27 - 2013-11-02,+15%
2013-11-03 - 2013-11-09,+21%
2013-11-10 - 2013-11-16,+4%
2013-11-17 - 2013-11-23,+4%
2013-11-24 - 2013-11-30,-14%
2013-12-01 - 2013-12-07,-10%
2013-12-08 - 2013-12-14,-5%
2013-12-15 - 2013-12-21,-9%
2013-12-22 - 2013-12-28,-12%
2013-12-29 - 2014-01-04,+3%



Top searches
craigslist,100
map,35
calendar,25
quotes,20
definition,15
google,15
maps,15
calculator,10
calendar 2013,10
mermaid,10
trash can,10
dictionary,10
history,10
world map,10
planner,10
search,10
us,10
translate,10
library,10
google maps,5



Rising searches
definition,+250%
google maps,+200%
calendar 2013,+190%
translate,+130%
google,+120%
quotes,+90%
maps,+70%
us,+70%
map,+60%
search,+60%



