News Search interest
United States; 2013

Interest over time
Week,Science
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-13%
2013-01-20 - 2013-01-26,+4%
2013-01-27 - 2013-02-02,-4%
2013-02-03 - 2013-02-09,-2%
2013-02-10 - 2013-02-16,+89%
2013-02-17 - 2013-02-23,+62%
2013-02-24 - 2013-03-02,+30%
2013-03-03 - 2013-03-09,+47%
2013-03-10 - 2013-03-16,+15%
2013-03-17 - 2013-03-23,+25%
2013-03-24 - 2013-03-30,+0%
2013-03-31 - 2013-04-06,-21%
2013-04-07 - 2013-04-13,-11%
2013-04-14 - 2013-04-20,-8%
2013-04-21 - 2013-04-27,-9%
2013-04-28 - 2013-05-04,-30%
2013-05-05 - 2013-05-11,+8%
2013-05-12 - 2013-05-18,-17%
2013-05-19 - 2013-05-25,-26%
2013-05-26 - 2013-06-01,-28%
2013-06-02 - 2013-06-08,-9%
2013-06-09 - 2013-06-15,-21%
2013-06-16 - 2013-06-22,-34%
2013-06-23 - 2013-06-29,-38%
2013-06-30 - 2013-07-06,-47%
2013-07-07 - 2013-07-13,-40%
2013-07-14 - 2013-07-20,-45%
2013-07-21 - 2013-07-27,-36%
2013-07-28 - 2013-08-03,-36%
2013-08-04 - 2013-08-10,-40%
2013-08-11 - 2013-08-17,+4%
2013-08-18 - 2013-08-24,-28%
2013-08-25 - 2013-08-31,-30%
2013-09-01 - 2013-09-07,-28%
2013-09-08 - 2013-09-14,-13%
2013-09-15 - 2013-09-21,-8%
2013-09-22 - 2013-09-28,-19%
2013-09-29 - 2013-10-05,-6%
2013-10-06 - 2013-10-12,-13%
2013-10-13 - 2013-10-19,-25%
2013-10-20 - 2013-10-26,-23%
2013-10-27 - 2013-11-02,-26%
2013-11-03 - 2013-11-09,-21%
2013-11-10 - 2013-11-16,-25%
2013-11-17 - 2013-11-23,-25%
2013-11-24 - 2013-11-30,-30%
2013-12-01 - 2013-12-07,-28%
2013-12-08 - 2013-12-14,-28%
2013-12-15 - 2013-12-21,-28%
2013-12-22 - 2013-12-28,-40%
2013-12-29 - 2014-01-04,-17%



Top searches
meteor,100
asteroids,55
global warming,40
tropical cyclones,30
meteor shower,30
big bang theory,25
higgs,25
science,25
climate change,20
java,20
sinkhole,20
asteroid,15
nasa,15
steve jobs,15
quadrantid meteor shower,15
moon,15
drone,15
stephen hawking,15
math,15
eruption,10



Rising searches
tropical cyclones,Breakout
eruption,+350%
stephen hawking,+350%
sinkhole,+250%
antarctica,+170%
asteroids,+160%
big bang theory,+150%
java,+130%
global warming,+100%
drone,+70%



