Image Search interest
United States; 2013

Interest over time
Week,Shopping
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,-4%
2013-01-20 - 2013-01-26,+0%
2013-01-27 - 2013-02-02,-3%
2013-02-03 - 2013-02-09,+0%
2013-02-10 - 2013-02-16,+4%
2013-02-17 - 2013-02-23,+4%
2013-02-24 - 2013-03-02,+1%
2013-03-03 - 2013-03-09,+0%
2013-03-10 - 2013-03-16,+5%
2013-03-17 - 2013-03-23,+0%
2013-03-24 - 2013-03-30,+1%
2013-03-31 - 2013-04-06,-4%
2013-04-07 - 2013-04-13,-1%
2013-04-14 - 2013-04-20,-4%
2013-04-21 - 2013-04-27,+0%
2013-04-28 - 2013-05-04,+1%
2013-05-05 - 2013-05-11,+2%
2013-05-12 - 2013-05-18,+5%
2013-05-19 - 2013-05-25,+0%
2013-05-26 - 2013-06-01,-1%
2013-06-02 - 2013-06-08,+0%
2013-06-09 - 2013-06-15,+4%
2013-06-16 - 2013-06-22,-1%
2013-06-23 - 2013-06-29,-4%
2013-06-30 - 2013-07-06,-4%
2013-07-07 - 2013-07-13,-3%
2013-07-14 - 2013-07-20,+0%
2013-07-21 - 2013-07-27,+0%
2013-07-28 - 2013-08-03,+0%
2013-08-04 - 2013-08-10,+1%
2013-08-11 - 2013-08-17,+0%
2013-08-18 - 2013-08-24,-3%
2013-08-25 - 2013-08-31,+0%
2013-09-01 - 2013-09-07,+0%
2013-09-08 - 2013-09-14,-4%
2013-09-15 - 2013-09-21,+1%
2013-09-22 - 2013-09-28,+6%
2013-09-29 - 2013-10-05,+7%
2013-10-06 - 2013-10-12,+13%
2013-10-13 - 2013-10-19,+16%
2013-10-20 - 2013-10-26,+25%
2013-10-27 - 2013-11-02,+24%
2013-11-03 - 2013-11-09,+2%
2013-11-10 - 2013-11-16,+6%
2013-11-17 - 2013-11-23,+5%
2013-11-24 - 2013-11-30,+13%
2013-12-01 - 2013-12-07,+10%
2013-12-08 - 2013-12-14,+11%
2013-12-15 - 2013-12-21,+14%
2013-12-22 - 2013-12-28,+18%
2013-12-29 - 2014-01-04,+2%



Top searches
shoes,100
black,90
nike,70
dress,65
white,60
dresses,55
boots,45
jordan,40
party,35
flowers,35
birthday,30
gold,30
baby,30
flower,30
bikini,25
jordans,25
diamond,25
purple,20
lego,20
outfits,20



Rising searches
atari breakout,Breakout
xbox one,Breakout
atari,+750%
prom dresses 2013,+350%
ps4,+350%
kd shoes,+300%
playstation 4,+160%
cumpleaños,+120%
minecraft,+100%
hookah,+90%



