YouTube Search interest
United States; 2013

Interest over time
Week,Sports
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+0%
2013-01-20 - 2013-01-26,+2%
2013-01-27 - 2013-02-02,+7%
2013-02-03 - 2013-02-09,+9%
2013-02-10 - 2013-02-16,-7%
2013-02-17 - 2013-02-23,+3%
2013-02-24 - 2013-03-02,+3%
2013-03-03 - 2013-03-09,+7%
2013-03-10 - 2013-03-16,+15%
2013-03-17 - 2013-03-23,+8%
2013-03-24 - 2013-03-30,-2%
2013-03-31 - 2013-04-06,+13%
2013-04-07 - 2013-04-13,+7%
2013-04-14 - 2013-04-20,+11%
2013-04-21 - 2013-04-27,+7%
2013-04-28 - 2013-05-04,+6%
2013-05-05 - 2013-05-11,+2%
2013-05-12 - 2013-05-18,+0%
2013-05-19 - 2013-05-25,-1%
2013-05-26 - 2013-06-01,+3%
2013-06-02 - 2013-06-08,+0%
2013-06-09 - 2013-06-15,+0%
2013-06-16 - 2013-06-22,+1%
2013-06-23 - 2013-06-29,+2%
2013-06-30 - 2013-07-06,-1%
2013-07-07 - 2013-07-13,+8%
2013-07-14 - 2013-07-20,+1%
2013-07-21 - 2013-07-27,-6%
2013-07-28 - 2013-08-03,+1%
2013-08-04 - 2013-08-10,-1%
2013-08-11 - 2013-08-17,-1%
2013-08-18 - 2013-08-24,+3%
2013-08-25 - 2013-08-31,-5%
2013-09-01 - 2013-09-07,+1%
2013-09-08 - 2013-09-14,+0%
2013-09-15 - 2013-09-21,+2%
2013-09-22 - 2013-09-28,-3%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,-2%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,+5%
2013-11-03 - 2013-11-09,-6%
2013-11-10 - 2013-11-16,-2%
2013-11-17 - 2013-11-23,+2%
2013-11-24 - 2013-11-30,-1%
2013-12-01 - 2013-12-07,+6%
2013-12-08 - 2013-12-14,-2%
2013-12-15 - 2013-12-21,-6%
2013-12-22 - 2013-12-28,-9%
2013-12-29 - 2014-01-04,+7%



Top searches
wwe,100
fight,85
football,60
nba,60
basketball,55
fights,50
ufc,30
wrestling,30
nfl,25
soccer,25
kobe,25
lebron james,25
john cena,25
mayweather,25
baseball,20
golf,20
undertaker,20
phillip phillips,20
michael jordan,15
harlem shake,15



Rising searches
2k14,Breakout
boston marathon,Breakout
harlem shake,Breakout
nba 2k14,Breakout
rich homie quan,Breakout
royals,+2,400%
kyr sp33dy,+450%
ariana grande,+250%
chief keef,+170%
miami heat,+80%



