News Search interest
United States; 2014

Interest over time
Week,Beauty & Fitness
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-7%
2014-01-19 - 2014-01-25,-18%
2014-01-26 - 2014-02-01,-24%
2014-02-02 - 2014-02-08,-22%
2014-02-09 - 2014-02-15,-19%
2014-02-16 - 2014-02-22,-20%
2014-02-23 - 2014-03-01,-20%
2014-03-02 - 2014-03-08,-15%
2014-03-09 - 2014-03-15,-31%
2014-03-16 - 2014-03-22,-27%
2014-03-23 - 2014-03-29,-23%
2014-03-30 - 2014-04-05,-20%
2014-04-06 - 2014-04-12,-23%
2014-04-13 - 2014-04-19,-19%
2014-04-20 - 2014-04-26,-14%
2014-04-27 - 2014-05-03,-14%
2014-05-04 - 2014-05-10,-18%
2014-05-11 - 2014-05-17,-20%
2014-05-18 - 2014-05-24,-23%
2014-05-25 - 2014-05-31,-18%
2014-06-01 - 2014-06-07,-23%
2014-06-08 - 2014-06-14,-9%
2014-06-15 - 2014-06-21,-26%
2014-06-22 - 2014-06-28,-28%
2014-06-29 - 2014-07-05,-28%
2014-07-06 - 2014-07-12,-28%
2014-07-13 - 2014-07-19,-30%
2014-07-20 - 2014-07-26,-28%
2014-07-27 - 2014-08-02,-24%
2014-08-03 - 2014-08-09,-30%
2014-08-10 - 2014-08-16,-26%
2014-08-17 - 2014-08-23,-23%
2014-08-24 - 2014-08-30,-24%
2014-08-31 - 2014-09-06,-7%
2014-09-07 - 2014-09-13,-27%
2014-09-14 - 2014-09-20,+35%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
hair,100
tattoo,40
harry styles,35
tattoos,35
fitness,25
face,25
fashion,20
america,20
yoga,20
modi,20
weight loss,20
hairstyles,20
miss america,20
joan rivers,15
nails,15
diet,15
clippers,15
cincinnati,10
haircut,10
workout,10



Rising searches
kevin ward,Breakout
joan rivers,+3,250%
miss venezuela,+1,000%
solange,+1,000%
allergan,+650%
clippers,+350%
modi,+300%
face,+100%
gisele bundchen,+100%
kate upton,+90%



