News Search interest
United States; 2014

Interest over time
Week,Books & Literature
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+0%
2014-01-19 - 2014-01-25,+6%
2014-01-26 - 2014-02-01,-17%
2014-02-02 - 2014-02-08,-7%
2014-02-09 - 2014-02-15,-15%
2014-02-16 - 2014-02-22,-13%
2014-02-23 - 2014-03-01,-7%
2014-03-02 - 2014-03-08,-4%
2014-03-09 - 2014-03-15,+19%
2014-03-16 - 2014-03-22,-6%
2014-03-23 - 2014-03-29,-19%
2014-03-30 - 2014-04-05,+7%
2014-04-06 - 2014-04-12,+54%
2014-04-13 - 2014-04-19,+85%
2014-04-20 - 2014-04-26,+28%
2014-04-27 - 2014-05-03,+2%
2014-05-04 - 2014-05-10,-2%
2014-05-11 - 2014-05-17,+2%
2014-05-18 - 2014-05-24,+4%
2014-05-25 - 2014-05-31,-2%
2014-06-01 - 2014-06-07,+28%
2014-06-08 - 2014-06-14,+7%
2014-06-15 - 2014-06-21,+44%
2014-06-22 - 2014-06-28,-28%
2014-06-29 - 2014-07-05,-31%
2014-07-06 - 2014-07-12,-2%
2014-07-13 - 2014-07-19,-26%
2014-07-20 - 2014-07-26,-30%
2014-07-27 - 2014-08-02,-26%
2014-08-03 - 2014-08-09,-26%
2014-08-10 - 2014-08-16,-22%
2014-08-17 - 2014-08-23,-30%
2014-08-24 - 2014-08-30,-28%
2014-08-31 - 2014-09-06,-30%
2014-09-07 - 2014-09-13,-26%
2014-09-14 - 2014-09-20,-31%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
game of thrones,100
quotes,50
true detective,20
book,20
books,15
rowling,10
pretty little liars,10
vampire diaries,10
j. k. rowling,5
harry potter,5
frases,5
love quotes,5
lorde,5
fanfiction,5
quote,5
poems,5
martin luther king,5
kata kata,5
amor,5
barnes noble,5



Rising searches
gabriel garcía márquez,Breakout
true detective,Breakout
zora neale hurston,Breakout
kata kata,+1,700%
lone survivor,+900%
maya angelou,+900%
sword art online,+200%
the hobbit,+160%
game of thrones,+130%
final fantasy xv,+110%



