Web Search interest
United States; 2014

Interest over time
Week,Books & Literature
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+10%
2014-01-19 - 2014-01-25,+10%
2014-01-26 - 2014-02-01,+7%
2014-02-02 - 2014-02-08,+7%
2014-02-09 - 2014-02-15,+6%
2014-02-16 - 2014-02-22,+6%
2014-02-23 - 2014-03-01,+16%
2014-03-02 - 2014-03-08,+13%
2014-03-09 - 2014-03-15,+9%
2014-03-16 - 2014-03-22,+9%
2014-03-23 - 2014-03-29,+8%
2014-03-30 - 2014-04-05,+9%
2014-04-06 - 2014-04-12,+14%
2014-04-13 - 2014-04-19,+12%
2014-04-20 - 2014-04-26,+12%
2014-04-27 - 2014-05-03,+15%
2014-05-04 - 2014-05-10,+13%
2014-05-11 - 2014-05-17,+7%
2014-05-18 - 2014-05-24,+6%
2014-05-25 - 2014-05-31,+6%
2014-06-01 - 2014-06-07,+3%
2014-06-08 - 2014-06-14,-5%
2014-06-15 - 2014-06-21,-6%
2014-06-22 - 2014-06-28,-15%
2014-06-29 - 2014-07-05,-17%
2014-07-06 - 2014-07-12,-14%
2014-07-13 - 2014-07-19,-15%
2014-07-20 - 2014-07-26,-14%
2014-07-27 - 2014-08-02,-14%
2014-08-03 - 2014-08-09,-14%
2014-08-10 - 2014-08-16,-12%
2014-08-17 - 2014-08-23,-9%
2014-08-24 - 2014-08-30,-6%
2014-08-31 - 2014-09-06,-2%
2014-09-07 - 2014-09-13,+3%
2014-09-14 - 2014-09-20,-2%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
quotes,100
book,30
books,25
game of thrones,20
fanfiction,15
poems,10
quote,10
sparknotes,10
love quotes,10
poem,10
citation,5
harry potter,5
mla,5
life quotes,5
funny quotes,5
barnes and noble,5
poetry,5
shakespeare,5
gatsby,5
fanfic,5



Rising searches
kahoot,Breakout
true detective,Breakout
lone survivor,+550%
maya angelou quotes,+350%
maya angelou,+200%
the giver,+200%
game of thrones,+80%
sword art online,+80%
jon snow,+70%
the book thief,+70%



