YouTube Search interest
United States; 2014

Interest over time
Week,Business & Industrial
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+3%
2014-01-19 - 2014-01-25,+13%
2014-01-26 - 2014-02-01,+64%
2014-02-02 - 2014-02-08,+8%
2014-02-09 - 2014-02-15,+2%
2014-02-16 - 2014-02-22,+3%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+20%
2014-03-09 - 2014-03-15,+2%
2014-03-16 - 2014-03-22,+2%
2014-03-23 - 2014-03-29,+5%
2014-03-30 - 2014-04-05,+5%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+2%
2014-04-27 - 2014-05-03,-2%
2014-05-04 - 2014-05-10,-3%
2014-05-11 - 2014-05-17,-3%
2014-05-18 - 2014-05-24,-2%
2014-05-25 - 2014-05-31,-5%
2014-06-01 - 2014-06-07,+0%
2014-06-08 - 2014-06-14,+0%
2014-06-15 - 2014-06-21,+0%
2014-06-22 - 2014-06-28,+0%
2014-06-29 - 2014-07-05,+2%
2014-07-06 - 2014-07-12,+3%
2014-07-13 - 2014-07-19,+2%
2014-07-20 - 2014-07-26,+2%
2014-07-27 - 2014-08-02,-2%
2014-08-03 - 2014-08-09,+5%
2014-08-10 - 2014-08-16,+7%
2014-08-17 - 2014-08-23,+0%
2014-08-24 - 2014-08-30,+18%
2014-08-31 - 2014-09-06,+2%
2014-09-07 - 2014-09-13,+2%
2014-09-14 - 2014-09-20,+5%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
minecraft,100
grammy,85
grammy 2014,65
timber,60
2014 grammys,50
trailers,50
space,45
katy perry,45
motivation,40
to the moon,40
syndicate project,35
oscars,30
survival,30
sherman,25
tractor,25
lorde,25
dark horse,25
goat simulator,25
richard sherman,25
taylor swift,25



Rising searches
2014 grammys,Breakout
beyonce grammy 2014,Breakout
goat simulator,Breakout
grammy 2014,Breakout
lorde,+900%
richard sherman,+800%
dark horse,+750%
2014 trailers,+650%
sherman,+550%
to the moon,+450%



