YouTube Search interest
United States; 2014

Interest over time
Week,Computers & Electronics
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-4%
2014-01-19 - 2014-01-25,-1%
2014-01-26 - 2014-02-01,-3%
2014-02-02 - 2014-02-08,-2%
2014-02-09 - 2014-02-15,-3%
2014-02-16 - 2014-02-22,-1%
2014-02-23 - 2014-03-01,-1%
2014-03-02 - 2014-03-08,-2%
2014-03-09 - 2014-03-15,+1%
2014-03-16 - 2014-03-22,+1%
2014-03-23 - 2014-03-29,-1%
2014-03-30 - 2014-04-05,-1%
2014-04-06 - 2014-04-12,+1%
2014-04-13 - 2014-04-19,-2%
2014-04-20 - 2014-04-26,-3%
2014-04-27 - 2014-05-03,-11%
2014-05-04 - 2014-05-10,-11%
2014-05-11 - 2014-05-17,-13%
2014-05-18 - 2014-05-24,-12%
2014-05-25 - 2014-05-31,-10%
2014-06-01 - 2014-06-07,-4%
2014-06-08 - 2014-06-14,+5%
2014-06-15 - 2014-06-21,+1%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+1%
2014-07-06 - 2014-07-12,+6%
2014-07-13 - 2014-07-19,+4%
2014-07-20 - 2014-07-26,+0%
2014-07-27 - 2014-08-02,+4%
2014-08-03 - 2014-08-09,+6%
2014-08-10 - 2014-08-16,+3%
2014-08-17 - 2014-08-23,-2%
2014-08-24 - 2014-08-30,+1%
2014-08-31 - 2014-09-06,+1%
2014-09-07 - 2014-09-13,+3%
2014-09-14 - 2014-09-20,+3%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
minecraft,100
xbox 360,65
full movie,45
one,40
minecraft xbox,35
photoshop,35
selfie,35
kid ink,30
minecraft xbox 360,25
ps4,25
xbox one,20
drive,20
baby einstein,20
excel,20
apple,20
squid,20
speaker knockerz,20
galaxy s5,15
power,15
gopro,15



Rising searches
no flex zone,Breakout
selfie,Breakout
galaxy s5,+3,550%
samsung galaxy s5,+2,700%
stampy,+1,250%
speaker knockerz,+950%
ssundee,+400%
faker,+250%
squid,+160%
gta 5,+120%



