YouTube Search interest
United States; 2014

Interest over time
Week,Internet & Telecom
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-3%
2014-01-19 - 2014-01-25,-3%
2014-01-26 - 2014-02-01,-6%
2014-02-02 - 2014-02-08,-6%
2014-02-09 - 2014-02-15,-6%
2014-02-16 - 2014-02-22,-3%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+0%
2014-03-09 - 2014-03-15,+0%
2014-03-16 - 2014-03-22,+3%
2014-03-23 - 2014-03-29,+8%
2014-03-30 - 2014-04-05,+3%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,-3%
2014-04-20 - 2014-04-26,-2%
2014-04-27 - 2014-05-03,-5%
2014-05-04 - 2014-05-10,-3%
2014-05-11 - 2014-05-17,-5%
2014-05-18 - 2014-05-24,-3%
2014-05-25 - 2014-05-31,+0%
2014-06-01 - 2014-06-07,-2%
2014-06-08 - 2014-06-14,-3%
2014-06-15 - 2014-06-21,-2%
2014-06-22 - 2014-06-28,+3%
2014-06-29 - 2014-07-05,+0%
2014-07-06 - 2014-07-12,+5%
2014-07-13 - 2014-07-19,+17%
2014-07-20 - 2014-07-26,+8%
2014-07-27 - 2014-08-02,+5%
2014-08-03 - 2014-08-09,+5%
2014-08-10 - 2014-08-16,+6%
2014-08-17 - 2014-08-23,+6%
2014-08-24 - 2014-08-30,+2%
2014-08-31 - 2014-09-06,+8%
2014-09-07 - 2014-09-13,+54%
2014-09-14 - 2014-09-20,+29%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
iphone,100
voice,50
the voice,45
iphone 6,35
android,35
samsung,35
google,25
htc one,15
unboxing,15
iphone 5,15
orange,15
nexus,15
iphone 4,15
sky,15
voice 2014,10
the voice 2014,10
purge,10
cydia,10
htc m8,10
annoying orange,10



Rising searches
htc m8,Breakout
htc one m8,Breakout
the voice 2014,Breakout
voice 2014,Breakout
diamond dimensions,+1,200%
diamond minecart,+750%
the diamond minecart,+750%
smartphones,+650%
skt,+500%
iphone 6,+350%



