News Search interest
United States; 2014

Interest over time
Week,People & Society
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-4%
2014-01-19 - 2014-01-25,-2%
2014-01-26 - 2014-02-01,-5%
2014-02-02 - 2014-02-08,-8%
2014-02-09 - 2014-02-15,-2%
2014-02-16 - 2014-02-22,-4%
2014-02-23 - 2014-03-01,+5%
2014-03-02 - 2014-03-08,-7%
2014-03-09 - 2014-03-15,-12%
2014-03-16 - 2014-03-22,-15%
2014-03-23 - 2014-03-29,+0%
2014-03-30 - 2014-04-05,-2%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,+8%
2014-04-20 - 2014-04-26,+3%
2014-04-27 - 2014-05-03,+0%
2014-05-04 - 2014-05-10,+5%
2014-05-11 - 2014-05-17,+5%
2014-05-18 - 2014-05-24,+4%
2014-05-25 - 2014-05-31,+10%
2014-06-01 - 2014-06-07,+0%
2014-06-08 - 2014-06-14,-5%
2014-06-15 - 2014-06-21,-5%
2014-06-22 - 2014-06-28,-2%
2014-06-29 - 2014-07-05,-4%
2014-07-06 - 2014-07-12,-3%
2014-07-13 - 2014-07-19,-3%
2014-07-20 - 2014-07-26,-8%
2014-07-27 - 2014-08-02,-4%
2014-08-03 - 2014-08-09,-1%
2014-08-10 - 2014-08-16,-14%
2014-08-17 - 2014-08-23,-1%
2014-08-24 - 2014-08-30,-8%
2014-08-31 - 2014-09-06,-3%
2014-09-07 - 2014-09-13,-13%
2014-09-14 - 2014-09-20,-8%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
marriage,100
india,75
girls,50
same-sex marriage,50
pregnant,45
boko haram,35
us,35
immigration,30
global warming,30
climate change,25
ufo,25
divorce,25
pope,20
bible,20
economy,20
jesus,20
immigration reform,20
univision,20
mila kunis,20
catholic,15



Rising searches
boko haram,+2,600%
maya angelou,+2,550%
foley,+750%
duggar,+350%
janet yellen,+250%
mila kunis,+250%
jesus christ,+120%
minimum wage,+110%
russia,+90%
climate change,+60%



