Google Shopping interest
United States; 2014

Interest over time
Week,Real Estate
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-3%
2014-01-19 - 2014-01-25,+4%
2014-01-26 - 2014-02-01,-3%
2014-02-02 - 2014-02-08,+4%
2014-02-09 - 2014-02-15,+1%
2014-02-16 - 2014-02-22,+6%
2014-02-23 - 2014-03-01,+4%
2014-03-02 - 2014-03-08,+7%
2014-03-09 - 2014-03-15,+1%
2014-03-16 - 2014-03-22,+10%
2014-03-23 - 2014-03-29,+9%
2014-03-30 - 2014-04-05,+10%
2014-04-06 - 2014-04-12,+9%
2014-04-13 - 2014-04-19,+10%
2014-04-20 - 2014-04-26,+7%
2014-04-27 - 2014-05-03,+10%
2014-05-04 - 2014-05-10,+22%
2014-05-11 - 2014-05-17,+21%
2014-05-18 - 2014-05-24,+43%
2014-05-25 - 2014-05-31,+39%
2014-06-01 - 2014-06-07,+39%
2014-06-08 - 2014-06-14,+39%
2014-06-15 - 2014-06-21,+40%
2014-06-22 - 2014-06-28,+40%
2014-06-29 - 2014-07-05,+42%
2014-07-06 - 2014-07-12,+49%
2014-07-13 - 2014-07-19,+43%
2014-07-20 - 2014-07-26,+43%
2014-07-27 - 2014-08-02,+36%
2014-08-03 - 2014-08-09,+33%
2014-08-10 - 2014-08-16,+24%
2014-08-17 - 2014-08-23,+28%
2014-08-24 - 2014-08-30,+27%
2014-08-31 - 2014-09-06,+33%
2014-09-07 - 2014-09-13,+24%
2014-09-14 - 2014-09-20,+25%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
rent,100
for rent,80
apartments,75
homes,75
flats,55
houses,55
house,45
homes for sale,40
real,30
real real,30
real estate,30
florida,30
houses for rent,20
zillow,20
houses for sale,20
apartments for rent,15
apartment,15
homes for rent,15
cabin,10
mobile homes,10



Rising searches
www.facebook.com,Breakout
apartment for rent,+130%
houses for rent,+110%
house for rent,+70%
housing authority,+60%
vrbo,+60%
for rent,+50%
mobile homes,+50%
rent,+50%
apartments,+40%



