Google Shopping interest
United States; 2014

Interest over time
Week,Shopping
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,-3%
2014-01-19 - 2014-01-25,+1%
2014-01-26 - 2014-02-01,-3%
2014-02-02 - 2014-02-08,-2%
2014-02-09 - 2014-02-15,-1%
2014-02-16 - 2014-02-22,-3%
2014-02-23 - 2014-03-01,+0%
2014-03-02 - 2014-03-08,-1%
2014-03-09 - 2014-03-15,-2%
2014-03-16 - 2014-03-22,-4%
2014-03-23 - 2014-03-29,-5%
2014-03-30 - 2014-04-05,-5%
2014-04-06 - 2014-04-12,-4%
2014-04-13 - 2014-04-19,-6%
2014-04-20 - 2014-04-26,-7%
2014-04-27 - 2014-05-03,-5%
2014-05-04 - 2014-05-10,-4%
2014-05-11 - 2014-05-17,-8%
2014-05-18 - 2014-05-24,-11%
2014-05-25 - 2014-05-31,-8%
2014-06-01 - 2014-06-07,-8%
2014-06-08 - 2014-06-14,-6%
2014-06-15 - 2014-06-21,-6%
2014-06-22 - 2014-06-28,-9%
2014-06-29 - 2014-07-05,-8%
2014-07-06 - 2014-07-12,-8%
2014-07-13 - 2014-07-19,-10%
2014-07-20 - 2014-07-26,-7%
2014-07-27 - 2014-08-02,-6%
2014-08-03 - 2014-08-09,-8%
2014-08-10 - 2014-08-16,-4%
2014-08-17 - 2014-08-23,-5%
2014-08-24 - 2014-08-30,-6%
2014-08-31 - 2014-09-06,-6%
2014-09-07 - 2014-09-13,+2%
2014-09-14 - 2014-09-20,+4%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
shoes,100
nike,70
dress,60
boots,55
amazon,50
ebay,40
dresses,35
walmart,35
xbox,25
lego,20
adidas,20
camera,20
bike,20
target,15
ipod,15
diamond,15
xbox 360,15
nike shoes,15
jordans,10
headphones,10



Rising searches
kd,+160%
prom dresses,+140%
jordans,+100%
craigslist,+80%
forever 21,+60%
nerf,+60%
xbox one,+60%
jordan shoes,+50%
ps4,+50%
swimsuits,+50%



