Google Shopping interest
United States; 2014

Interest over time
Week,Sports
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,+8%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,+8%
2014-02-09 - 2014-02-15,+5%
2014-02-16 - 2014-02-22,+5%
2014-02-23 - 2014-03-01,+3%
2014-03-02 - 2014-03-08,+3%
2014-03-09 - 2014-03-15,+4%
2014-03-16 - 2014-03-22,+5%
2014-03-23 - 2014-03-29,+3%
2014-03-30 - 2014-04-05,+4%
2014-04-06 - 2014-04-12,+4%
2014-04-13 - 2014-04-19,+6%
2014-04-20 - 2014-04-26,+9%
2014-04-27 - 2014-05-03,+5%
2014-05-04 - 2014-05-10,+10%
2014-05-11 - 2014-05-17,+8%
2014-05-18 - 2014-05-24,+8%
2014-05-25 - 2014-05-31,+15%
2014-06-01 - 2014-06-07,+9%
2014-06-08 - 2014-06-14,+20%
2014-06-15 - 2014-06-21,+27%
2014-06-22 - 2014-06-28,+20%
2014-06-29 - 2014-07-05,+15%
2014-07-06 - 2014-07-12,+13%
2014-07-13 - 2014-07-19,+14%
2014-07-20 - 2014-07-26,+11%
2014-07-27 - 2014-08-02,+10%
2014-08-03 - 2014-08-09,+13%
2014-08-10 - 2014-08-16,+10%
2014-08-17 - 2014-08-23,+10%
2014-08-24 - 2014-08-30,+14%
2014-08-31 - 2014-09-06,+13%
2014-09-07 - 2014-09-13,+15%
2014-09-14 - 2014-09-20,+18%
2014-09-21 - 2014-09-27, 
2014-09-28 - 2014-10-04, 
2014-10-05 - 2014-10-11, 
2014-10-12 - 2014-10-18, 
2014-10-19 - 2014-10-25, 
2014-10-26 - 2014-11-01, 
2014-11-02 - 2014-11-08, 
2014-11-09 - 2014-11-15, 
2014-11-16 - 2014-11-22, 
2014-11-23 - 2014-11-29, 
2014-11-30 - 2014-12-06, 
2014-12-07 - 2014-12-13, 
2014-12-14 - 2014-12-20, 
2014-12-21 - 2014-12-27, 
2014-12-28 - 2015-01-03, 



Top searches
bike,100
nike,60
soccer,55
golf,55
basketball,50
football,50
shoes,45
bikes,40
helmet,35
bicycle,25
new balance,25
world cup,25
helmets,20
nba,20
wwe,15
skateboard,15
nfl,15
snowboard,15
ebay,15
mountain bike,15



Rising searches
world cup 2014,+1,900%
world cup,+1,250%
lebron 11,+300%
jordan 6,+160%
jordan 11,+70%
jordans,+70%
soccer,+70%
soccer cleats,+70%
longboards,+60%
seahawks,+60%



