News Search interest
United States; Past 12 months

Interest over time
Week,Arts & Entertainment
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+5%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+7%
2013-10-13 - 2013-10-19,-5%
2013-10-20 - 2013-10-26,-4%
2013-10-27 - 2013-11-02,-1%
2013-11-03 - 2013-11-09,-1%
2013-11-10 - 2013-11-16,+2%
2013-11-17 - 2013-11-23,-5%
2013-11-24 - 2013-11-30,+4%
2013-12-01 - 2013-12-07,-4%
2013-12-08 - 2013-12-14,+0%
2013-12-15 - 2013-12-21,+4%
2013-12-22 - 2013-12-28,+2%
2013-12-29 - 2014-01-04,-1%
2014-01-05 - 2014-01-11,-5%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,-6%
2014-01-26 - 2014-02-01,+9%
2014-02-02 - 2014-02-08,+10%
2014-02-09 - 2014-02-15,+1%
2014-02-16 - 2014-02-22,+1%
2014-02-23 - 2014-03-01,+6%
2014-03-02 - 2014-03-08,+15%
2014-03-09 - 2014-03-15,-15%
2014-03-16 - 2014-03-22,-7%
2014-03-23 - 2014-03-29,-3%
2014-03-30 - 2014-04-05,+1%
2014-04-06 - 2014-04-12,-1%
2014-04-13 - 2014-04-19,-3%
2014-04-20 - 2014-04-26,+0%
2014-04-27 - 2014-05-03,-3%
2014-05-04 - 2014-05-10,-3%
2014-05-11 - 2014-05-17,+11%
2014-05-18 - 2014-05-24,+7%
2014-05-25 - 2014-05-31,+2%
2014-06-01 - 2014-06-07,+1%
2014-06-08 - 2014-06-14,+5%
2014-06-15 - 2014-06-21,-9%
2014-06-22 - 2014-06-28,-11%
2014-06-29 - 2014-07-05,-4%
2014-07-06 - 2014-07-12,-9%
2014-07-13 - 2014-07-19,-6%
2014-07-20 - 2014-07-26,-1%
2014-07-27 - 2014-08-02,-1%
2014-08-03 - 2014-08-09,-3%
2014-08-10 - 2014-08-16,+25%
2014-08-17 - 2014-08-23,+2%
2014-08-24 - 2014-08-30,+7%
2014-08-31 - 2014-09-06,-4%
2014-09-07 - 2014-09-13,-12%
2014-09-14 - 2014-09-20,-9%



Top searches
youtube,100
miley cyrus,85
news,40
selena gomez,40
music,40
robin williams,35
movies,35
walking dead,35
beyonce,35
you,30
kardashian,30
google,30
netflix,30
rihanna,25
kanye west,25
star wars,25
gaga,25
breaking bad,20
lady gaga,20
chris brown,20



Rising searches
philip seymour hoffman,Breakout
robin williams,Breakout
tracy morgan,+2,100%
godzilla,+550%
marvel,+150%
jay z,+80%
batman,+70%
breaking bad,+70%
miley cyrus,+70%
pope francis,+70%



