Web Search interest
United States; Past 12 months

Interest over time
Week,Arts & Entertainment
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+5%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,+4%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,+7%
2013-11-03 - 2013-11-09,+1%
2013-11-10 - 2013-11-16,+4%
2013-11-17 - 2013-11-23,+0%
2013-11-24 - 2013-11-30,+9%
2013-12-01 - 2013-12-07,+2%
2013-12-08 - 2013-12-14,+2%
2013-12-15 - 2013-12-21,+8%
2013-12-22 - 2013-12-28,+18%
2013-12-29 - 2014-01-04,+8%
2014-01-05 - 2014-01-11,+2%
2014-01-12 - 2014-01-18,+8%
2014-01-19 - 2014-01-25,+5%
2014-01-26 - 2014-02-01,+5%
2014-02-02 - 2014-02-08,+7%
2014-02-09 - 2014-02-15,+0%
2014-02-16 - 2014-02-22,+2%
2014-02-23 - 2014-03-01,+6%
2014-03-02 - 2014-03-08,+8%
2014-03-09 - 2014-03-15,+2%
2014-03-16 - 2014-03-22,+1%
2014-03-23 - 2014-03-29,+6%
2014-03-30 - 2014-04-05,+1%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+1%
2014-04-27 - 2014-05-03,+2%
2014-05-04 - 2014-05-10,+1%
2014-05-11 - 2014-05-17,+5%
2014-05-18 - 2014-05-24,+8%
2014-05-25 - 2014-05-31,+6%
2014-06-01 - 2014-06-07,+5%
2014-06-08 - 2014-06-14,+4%
2014-06-15 - 2014-06-21,+4%
2014-06-22 - 2014-06-28,+5%
2014-06-29 - 2014-07-05,+5%
2014-07-06 - 2014-07-12,+5%
2014-07-13 - 2014-07-19,+7%
2014-07-20 - 2014-07-26,+7%
2014-07-27 - 2014-08-02,+6%
2014-08-03 - 2014-08-09,+6%
2014-08-10 - 2014-08-16,+11%
2014-08-17 - 2014-08-23,+2%
2014-08-24 - 2014-08-30,+1%
2014-08-31 - 2014-09-06,+1%
2014-09-07 - 2014-09-13,-5%
2014-09-14 - 2014-09-20,+7%



Top searches
youtube,100
you,25
movies,25
google,20
netflix,20
facebook,10
radio,10
imdb,10
disney,5
you tube,5
worldstarhiphop,5
miley cyrus,5
walking dead,5
beyonce,5
amazon,5
hulu,5
jokes,5
people,5
youtube to mp3,5
yahoo,5



Rising searches
frozen,+1,550%
robin williams,+1,200%
iggy azalea,+800%
clash of clans,+300%
jimmy fallon,+190%
ariana grande,+160%
katy perry,+100%
ninja turtles,+90%
instagram,+80%
rainbow,+70%



