YouTube Search interest
United States; Past 12 months

Interest over time
Week,Arts & Entertainment
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,+1%
2013-10-06 - 2013-10-12,+3%
2013-10-13 - 2013-10-19,+4%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,+0%
2013-11-03 - 2013-11-09,+2%
2013-11-10 - 2013-11-16,-1%
2013-11-17 - 2013-11-23,+0%
2013-11-24 - 2013-11-30,+0%
2013-12-01 - 2013-12-07,-1%
2013-12-08 - 2013-12-14,+3%
2013-12-15 - 2013-12-21,+4%
2013-12-22 - 2013-12-28,+0%
2013-12-29 - 2014-01-04,-2%
2014-01-05 - 2014-01-11,+1%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,-2%
2014-01-26 - 2014-02-01,+4%
2014-02-02 - 2014-02-08,+0%
2014-02-09 - 2014-02-15,+2%
2014-02-16 - 2014-02-22,+0%
2014-02-23 - 2014-03-01,+1%
2014-03-02 - 2014-03-08,+2%
2014-03-09 - 2014-03-15,+1%
2014-03-16 - 2014-03-22,-3%
2014-03-23 - 2014-03-29,+1%
2014-03-30 - 2014-04-05,+0%
2014-04-06 - 2014-04-12,-2%
2014-04-13 - 2014-04-19,+0%
2014-04-20 - 2014-04-26,+0%
2014-04-27 - 2014-05-03,-2%
2014-05-04 - 2014-05-10,-1%
2014-05-11 - 2014-05-17,+1%
2014-05-18 - 2014-05-24,+3%
2014-05-25 - 2014-05-31,-3%
2014-06-01 - 2014-06-07,-1%
2014-06-08 - 2014-06-14,-4%
2014-06-15 - 2014-06-21,-5%
2014-06-22 - 2014-06-28,-3%
2014-06-29 - 2014-07-05,-3%
2014-07-06 - 2014-07-12,-7%
2014-07-13 - 2014-07-19,-3%
2014-07-20 - 2014-07-26,-5%
2014-07-27 - 2014-08-02,-4%
2014-08-03 - 2014-08-09,-4%
2014-08-10 - 2014-08-16,-4%
2014-08-17 - 2014-08-23,-2%
2014-08-24 - 2014-08-30,+0%
2014-08-31 - 2014-09-06,-3%
2014-09-07 - 2014-09-13,-4%
2014-09-14 - 2014-09-20,-3%



Top searches
movie,100
music,85
full movie,65
eminem,35
movies,35
drake,35
beyonce,35
katy perry,35
miley cyrus,30
chris brown,20
lil wayne,20
nicki minaj,20
minecraft,20
frozen,20
full movies,20
happy,20
rihanna,20
taylor swift,15
jason derulo,15
dubstep,15



Rising searches
dark horse,Breakout
wrecking ball,+4,500%
frozen,+3,150%
iggy azalea,+1,150%
jason derulo,+500%
ariana grande,+150%
katy perry,+140%
miley cyrus,+130%
happy,+100%
full movies,+50%



