News Search interest
United States; Past 12 months

Interest over time
Week,Autos & Vehicles
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+32%
2013-10-06 - 2013-10-12,+9%
2013-10-13 - 2013-10-19,+0%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,-1%
2013-11-03 - 2013-11-09,+8%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,+5%
2013-11-24 - 2013-11-30,-8%
2013-12-01 - 2013-12-07,+22%
2013-12-08 - 2013-12-14,-3%
2013-12-15 - 2013-12-21,-8%
2013-12-22 - 2013-12-28,+0%
2013-12-29 - 2014-01-04,-3%
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+18%
2014-01-19 - 2014-01-25,+0%
2014-01-26 - 2014-02-01,-3%
2014-02-02 - 2014-02-08,-8%
2014-02-09 - 2014-02-15,+11%
2014-02-16 - 2014-02-22,+13%
2014-02-23 - 2014-03-01,+9%
2014-03-02 - 2014-03-08,+1%
2014-03-09 - 2014-03-15,+5%
2014-03-16 - 2014-03-22,+7%
2014-03-23 - 2014-03-29,+0%
2014-03-30 - 2014-04-05,+13%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+12%
2014-04-20 - 2014-04-26,+13%
2014-04-27 - 2014-05-03,+0%
2014-05-04 - 2014-05-10,+0%
2014-05-11 - 2014-05-17,-4%
2014-05-18 - 2014-05-24,+8%
2014-05-25 - 2014-05-31,+1%
2014-06-01 - 2014-06-07,+1%
2014-06-08 - 2014-06-14,-1%
2014-06-15 - 2014-06-21,+4%
2014-06-22 - 2014-06-28,-4%
2014-06-29 - 2014-07-05,+7%
2014-07-06 - 2014-07-12,-8%
2014-07-13 - 2014-07-19,+8%
2014-07-20 - 2014-07-26,+7%
2014-07-27 - 2014-08-02,+16%
2014-08-03 - 2014-08-09,+17%
2014-08-10 - 2014-08-16,+0%
2014-08-17 - 2014-08-23,-3%
2014-08-24 - 2014-08-30,+0%
2014-08-31 - 2014-09-06,+11%
2014-09-07 - 2014-09-13,-4%
2014-09-14 - 2014-09-20,-1%



Top searches
ford,100
tesla,80
car,75
tesla motors,70
toyota,65
honda,55
cars,50
auto,50
nissan,35
general motors,35
chevy,35
bmw,35
dodge,30
motorcycle,30
jeep,25
mustang,25
boeing,25
subaru,25
corvette,20
audi,20



Rising searches
alibaba,+1,200%
ford mustangs,+850%
moto,+400%
mustang 2015,+250%
general motors,+140%
plane,+120%
toyota motor corporation,+110%
tesla motors,+90%
tesla,+80%
craigslist,+70%



