YouTube Search interest
United States; Past 12 months

Interest over time
Week,Beauty & Fitness
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-7%
2013-09-29 - 2013-10-05,-6%
2013-10-06 - 2013-10-12,-4%
2013-10-13 - 2013-10-19,-4%
2013-10-20 - 2013-10-26,-4%
2013-10-27 - 2013-11-02,-3%
2013-11-03 - 2013-11-09,-9%
2013-11-10 - 2013-11-16,-7%
2013-11-17 - 2013-11-23,-10%
2013-11-24 - 2013-11-30,-15%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-12%
2013-12-15 - 2013-12-21,-14%
2013-12-22 - 2013-12-28,-11%
2013-12-29 - 2014-01-04,-2%
2014-01-05 - 2014-01-11,+4%
2014-01-12 - 2014-01-18,-1%
2014-01-19 - 2014-01-25,+2%
2014-01-26 - 2014-02-01,-8%
2014-02-02 - 2014-02-08,-7%
2014-02-09 - 2014-02-15,-7%
2014-02-16 - 2014-02-22,-6%
2014-02-23 - 2014-03-01,-2%
2014-03-02 - 2014-03-08,-3%
2014-03-09 - 2014-03-15,-5%
2014-03-16 - 2014-03-22,-4%
2014-03-23 - 2014-03-29,-1%
2014-03-30 - 2014-04-05,-3%
2014-04-06 - 2014-04-12,-3%
2014-04-13 - 2014-04-19,-3%
2014-04-20 - 2014-04-26,-2%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,-6%
2014-05-11 - 2014-05-17,-1%
2014-05-18 - 2014-05-24,-1%
2014-05-25 - 2014-05-31,+0%
2014-06-01 - 2014-06-07,+0%
2014-06-08 - 2014-06-14,-1%
2014-06-15 - 2014-06-21,-1%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+3%
2014-07-06 - 2014-07-12,+3%
2014-07-13 - 2014-07-19,+2%
2014-07-20 - 2014-07-26,+4%
2014-07-27 - 2014-08-02,+1%
2014-08-03 - 2014-08-09,+3%
2014-08-10 - 2014-08-16,-1%
2014-08-17 - 2014-08-23,-3%
2014-08-24 - 2014-08-30,-9%
2014-08-31 - 2014-09-06,-5%
2014-09-07 - 2014-09-13,-5%
2014-09-14 - 2014-09-20,+1%



Top searches
hair,100
workout,60
makeup,60
yoga,25
makeup tutorial,25
hairstyles,25
natural hair,15
zumba,10
abs,10
hair tutorial,10
crossfit,10
fitness,10
key and peele,10
michelle phan,10
tattoo,10
nails,10
beauty,10
curly hair,5
bodybuilding,5
braids,5



Rising searches
becky g,+160%
tom ford,+140%
asmr,+90%
blogilates,+80%
pranks gone wrong,+80%
yoga pants,+80%
kid snippets,+70%
butt workout,+50%
diy,+50%
yoga for beginners,+50%



