Image Search interest
United States; Past 12 months

Interest over time
Week,Books & Literature
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-1%
2013-09-29 - 2013-10-05,+2%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,+1%
2013-10-20 - 2013-10-26,-2%
2013-10-27 - 2013-11-02,-2%
2013-11-03 - 2013-11-09,+5%
2013-11-10 - 2013-11-16,+5%
2013-11-17 - 2013-11-23,+6%
2013-11-24 - 2013-11-30,-1%
2013-12-01 - 2013-12-07,+1%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,+6%
2013-12-22 - 2013-12-28,-5%
2013-12-29 - 2014-01-04,-4%
2014-01-05 - 2014-01-11,+15%
2014-01-12 - 2014-01-18,+12%
2014-01-19 - 2014-01-25,+15%
2014-01-26 - 2014-02-01,+8%
2014-02-02 - 2014-02-08,+7%
2014-02-09 - 2014-02-15,+9%
2014-02-16 - 2014-02-22,+7%
2014-02-23 - 2014-03-01,+12%
2014-03-02 - 2014-03-08,+13%
2014-03-09 - 2014-03-15,+11%
2014-03-16 - 2014-03-22,+12%
2014-03-23 - 2014-03-29,+9%
2014-03-30 - 2014-04-05,+8%
2014-04-06 - 2014-04-12,+13%
2014-04-13 - 2014-04-19,+11%
2014-04-20 - 2014-04-26,+9%
2014-04-27 - 2014-05-03,+13%
2014-05-04 - 2014-05-10,+14%
2014-05-11 - 2014-05-17,+16%
2014-05-18 - 2014-05-24,+15%
2014-05-25 - 2014-05-31,+18%
2014-06-01 - 2014-06-07,+14%
2014-06-08 - 2014-06-14,+8%
2014-06-15 - 2014-06-21,+8%
2014-06-22 - 2014-06-28,+4%
2014-06-29 - 2014-07-05,+1%
2014-07-06 - 2014-07-12,+2%
2014-07-13 - 2014-07-19,+1%
2014-07-20 - 2014-07-26,+0%
2014-07-27 - 2014-08-02,+1%
2014-08-03 - 2014-08-09,+0%
2014-08-10 - 2014-08-16,+6%
2014-08-17 - 2014-08-23,+4%
2014-08-24 - 2014-08-30,+5%
2014-08-31 - 2014-09-06,+5%
2014-09-07 - 2014-09-13,+6%
2014-09-14 - 2014-09-20,+9%



Top searches
quotes,100
love,15
love quotes,15
life quotes,5
quotes tumblr,5
funny quotes,5
book,5
quote,5
frases,5
poems,5
quotes about life,5
game of thrones,5
cute quotes,5
sayings,5
quotes about love,5
amor,5
books,5
inspirational quotes,5
marilyn monroe,5
de amor,0



Rising searches
lone survivor,+4,450%
lorde,+1,250%
zora neale hurston,+1,100%
bonnie and clyde,+350%
nicola peltz,+350%
quotes about strength,+170%
strength quotes,+100%
quotes about change,+90%
instagram quotes,+70%
change quotes,+60%



