Image Search interest
United States; Past 12 months

Interest over time
Week,Food & Drink
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+2%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,+0%
2013-10-20 - 2013-10-26,+2%
2013-10-27 - 2013-11-02,+0%
2013-11-03 - 2013-11-09,+7%
2013-11-10 - 2013-11-16,+5%
2013-11-17 - 2013-11-23,+7%
2013-11-24 - 2013-11-30,+22%
2013-12-01 - 2013-12-07,-2%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,+11%
2013-12-22 - 2013-12-28,+9%
2013-12-29 - 2014-01-04,+2%
2014-01-05 - 2014-01-11,+0%
2014-01-12 - 2014-01-18,+5%
2014-01-19 - 2014-01-25,+7%
2014-01-26 - 2014-02-01,+5%
2014-02-02 - 2014-02-08,+5%
2014-02-09 - 2014-02-15,+7%
2014-02-16 - 2014-02-22,+4%
2014-02-23 - 2014-03-01,+5%
2014-03-02 - 2014-03-08,+4%
2014-03-09 - 2014-03-15,+6%
2014-03-16 - 2014-03-22,+6%
2014-03-23 - 2014-03-29,+5%
2014-03-30 - 2014-04-05,+6%
2014-04-06 - 2014-04-12,+4%
2014-04-13 - 2014-04-19,+12%
2014-04-20 - 2014-04-26,+1%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,+2%
2014-05-11 - 2014-05-17,+1%
2014-05-18 - 2014-05-24,-1%
2014-05-25 - 2014-05-31,-2%
2014-06-01 - 2014-06-07,-2%
2014-06-08 - 2014-06-14,-5%
2014-06-15 - 2014-06-21,-5%
2014-06-22 - 2014-06-28,-5%
2014-06-29 - 2014-07-05,+0%
2014-07-06 - 2014-07-12,+0%
2014-07-13 - 2014-07-19,+0%
2014-07-20 - 2014-07-26,+1%
2014-07-27 - 2014-08-02,+0%
2014-08-03 - 2014-08-09,-2%
2014-08-10 - 2014-08-16,-4%
2014-08-17 - 2014-08-23,-5%
2014-08-24 - 2014-08-30,-4%
2014-08-31 - 2014-09-06,-9%
2014-09-07 - 2014-09-13,-6%
2014-09-14 - 2014-09-20,-1%



Top searches
cake,100
chicken,50
food,50
chocolate,45
pizza,35
cakes,35
candy,35
beer,35
cheese,35
fruit,25
coffee,25
frozen,25
cupcakes,20
salad,20
ice cream,20
cookies,20
mexican,20
birthday cake,15
potato,15
starbucks,15



Rising searches
anna frozen,Breakout
potato man,+3,500%
frozen,+500%
troye sivan,+400%
madison beer,+350%
doc mcstuffins,+250%
ginseng,+250%
vine,+130%
starbucks menu,+100%
papa johns,+50%



