Web Search interest
United States; Past 12 months

Interest over time
Week,Food & Drink
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+4%
2013-10-13 - 2013-10-19,+6%
2013-10-20 - 2013-10-26,+6%
2013-10-27 - 2013-11-02,+7%
2013-11-03 - 2013-11-09,+4%
2013-11-10 - 2013-11-16,+12%
2013-11-17 - 2013-11-23,+9%
2013-11-24 - 2013-11-30,+41%
2013-12-01 - 2013-12-07,-1%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,+18%
2013-12-22 - 2013-12-28,+47%
2013-12-29 - 2014-01-04,+25%
2014-01-05 - 2014-01-11,+10%
2014-01-12 - 2014-01-18,+12%
2014-01-19 - 2014-01-25,+7%
2014-01-26 - 2014-02-01,+9%
2014-02-02 - 2014-02-08,+7%
2014-02-09 - 2014-02-15,+9%
2014-02-16 - 2014-02-22,+6%
2014-02-23 - 2014-03-01,+4%
2014-03-02 - 2014-03-08,+6%
2014-03-09 - 2014-03-15,+4%
2014-03-16 - 2014-03-22,+4%
2014-03-23 - 2014-03-29,+9%
2014-03-30 - 2014-04-05,+4%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,+12%
2014-04-20 - 2014-04-26,+7%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,+7%
2014-05-11 - 2014-05-17,+3%
2014-05-18 - 2014-05-24,+4%
2014-05-25 - 2014-05-31,+6%
2014-06-01 - 2014-06-07,+1%
2014-06-08 - 2014-06-14,+4%
2014-06-15 - 2014-06-21,+4%
2014-06-22 - 2014-06-28,+6%
2014-06-29 - 2014-07-05,+12%
2014-07-06 - 2014-07-12,+10%
2014-07-13 - 2014-07-19,+13%
2014-07-20 - 2014-07-26,+13%
2014-07-27 - 2014-08-02,+10%
2014-08-03 - 2014-08-09,+10%
2014-08-10 - 2014-08-16,+6%
2014-08-17 - 2014-08-23,+6%
2014-08-24 - 2014-08-30,+4%
2014-08-31 - 2014-09-06,+3%
2014-09-07 - 2014-09-13,-1%
2014-09-14 - 2014-09-20,+24%



Top searches
recipes,100
pizza,95
food,60
restaurants,50
pizza hut,35
chocolate,30
dominos,25
coffee,25
papa johns,20
starbucks,20
cookies,20
yelp,20
sushi,20
mcdonalds,15
candy crush,15
chicken recipes,10
frozen,10
ice cream,10
panera,10
food network,10



Rising searches
don jon,+1,500%
pizza hut deals,+170%
food near me,+140%
frozen,+110%
market basket,+100%
grubhub,+90%
restaurants near me,+90%
vine,+80%
all recipes,+60%
papajohns,+60%



