YouTube Search interest
United States; Past 12 months

Interest over time
Week,Food & Drink
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+2%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+7%
2013-10-13 - 2013-10-19,+8%
2013-10-20 - 2013-10-26,+7%
2013-10-27 - 2013-11-02,+6%
2013-11-03 - 2013-11-09,+8%
2013-11-10 - 2013-11-16,+11%
2013-11-17 - 2013-11-23,+10%
2013-11-24 - 2013-11-30,+19%
2013-12-01 - 2013-12-07,+4%
2013-12-08 - 2013-12-14,+7%
2013-12-15 - 2013-12-21,+2%
2013-12-22 - 2013-12-28,+7%
2013-12-29 - 2014-01-04,+13%
2014-01-05 - 2014-01-11,+10%
2014-01-12 - 2014-01-18,+6%
2014-01-19 - 2014-01-25,+8%
2014-01-26 - 2014-02-01,+11%
2014-02-02 - 2014-02-08,+12%
2014-02-09 - 2014-02-15,+7%
2014-02-16 - 2014-02-22,+6%
2014-02-23 - 2014-03-01,+6%
2014-03-02 - 2014-03-08,+7%
2014-03-09 - 2014-03-15,+8%
2014-03-16 - 2014-03-22,+7%
2014-03-23 - 2014-03-29,+7%
2014-03-30 - 2014-04-05,+5%
2014-04-06 - 2014-04-12,+4%
2014-04-13 - 2014-04-19,+7%
2014-04-20 - 2014-04-26,+6%
2014-04-27 - 2014-05-03,+8%
2014-05-04 - 2014-05-10,+5%
2014-05-11 - 2014-05-17,+11%
2014-05-18 - 2014-05-24,+4%
2014-05-25 - 2014-05-31,+6%
2014-06-01 - 2014-06-07,+7%
2014-06-08 - 2014-06-14,+8%
2014-06-15 - 2014-06-21,+6%
2014-06-22 - 2014-06-28,+10%
2014-06-29 - 2014-07-05,+12%
2014-07-06 - 2014-07-12,+13%
2014-07-13 - 2014-07-19,+8%
2014-07-20 - 2014-07-26,+13%
2014-07-27 - 2014-08-02,+10%
2014-08-03 - 2014-08-09,+11%
2014-08-10 - 2014-08-16,+8%
2014-08-17 - 2014-08-23,+5%
2014-08-24 - 2014-08-30,+1%
2014-08-31 - 2014-09-06,+6%
2014-09-07 - 2014-09-13,+4%
2014-09-14 - 2014-09-20,+2%



Top searches
vine,100
cake,55
vines,55
frozen,50
food,40
candy,35
gummy,30
chocolate,30
gummy bear,25
cooking,25
best vines,25
pizza,25
vine compilation,25
gummy bear song,20
troye sivan,15
mac miller,15
mcdonalds,15
slender,15
ice cream,15
drink a beer,15



Rising searches
vine 2014,Breakout
drink a beer,+3,100%
frozen,+1,450%
luke bryan,+1,450%
pound cake,+1,200%
vines,+600%
troye sivan,+500%
vine compilation,+500%
vine,+450%
vines 2013,+400%



