YouTube Search interest
United States; Past 12 months

Interest over time
Week,Games
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-9%
2013-09-29 - 2013-10-05,-10%
2013-10-06 - 2013-10-12,-11%
2013-10-13 - 2013-10-19,-8%
2013-10-20 - 2013-10-26,-12%
2013-10-27 - 2013-11-02,-10%
2013-11-03 - 2013-11-09,-9%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,-9%
2013-11-24 - 2013-11-30,+3%
2013-12-01 - 2013-12-07,-10%
2013-12-08 - 2013-12-14,-11%
2013-12-15 - 2013-12-21,-10%
2013-12-22 - 2013-12-28,+1%
2013-12-29 - 2014-01-04,+0%
2014-01-05 - 2014-01-11,-9%
2014-01-12 - 2014-01-18,-16%
2014-01-19 - 2014-01-25,-9%
2014-01-26 - 2014-02-01,-14%
2014-02-02 - 2014-02-08,-14%
2014-02-09 - 2014-02-15,-11%
2014-02-16 - 2014-02-22,-13%
2014-02-23 - 2014-03-01,-17%
2014-03-02 - 2014-03-08,-16%
2014-03-09 - 2014-03-15,-10%
2014-03-16 - 2014-03-22,-12%
2014-03-23 - 2014-03-29,-11%
2014-03-30 - 2014-04-05,-14%
2014-04-06 - 2014-04-12,-13%
2014-04-13 - 2014-04-19,-11%
2014-04-20 - 2014-04-26,-14%
2014-04-27 - 2014-05-03,-18%
2014-05-04 - 2014-05-10,-16%
2014-05-11 - 2014-05-17,-18%
2014-05-18 - 2014-05-24,-16%
2014-05-25 - 2014-05-31,-10%
2014-06-01 - 2014-06-07,-6%
2014-06-08 - 2014-06-14,+11%
2014-06-15 - 2014-06-21,+0%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+1%
2014-07-06 - 2014-07-12,-1%
2014-07-13 - 2014-07-19,+1%
2014-07-20 - 2014-07-26,+1%
2014-07-27 - 2014-08-02,-2%
2014-08-03 - 2014-08-09,-3%
2014-08-10 - 2014-08-16,+6%
2014-08-17 - 2014-08-23,-2%
2014-08-24 - 2014-08-30,-9%
2014-08-31 - 2014-09-06,-7%
2014-09-07 - 2014-09-13,-13%
2014-09-14 - 2014-09-20,-14%



Top searches
gta,100
minecraft,75
gta 5,65
games,60
pokemon,60
mario,55
call of duty,35
xbox 360,35
mods,35
sonic,35
skyrim,30
black ops 2,25
ps4,20
super mario,20
halo,20
battlefield,20
gta online,20
sims,20
xbox one,15
zelda,15



Rising searches
wrecking ball,Breakout
gta 5 online,+4,100%
gta online,+1,800%
gta 5,+550%
gta v,+450%
rooster teeth,+300%
demons imagine dragons,+170%
gta,+170%
xbox one,+150%
ps4,+140%



