YouTube Search interest
United States; Past 12 months

Interest over time
Week,Hobbies & Leisure
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+0%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+3%
2013-10-13 - 2013-10-19,+9%
2013-10-20 - 2013-10-26,+8%
2013-10-27 - 2013-11-02,+9%
2013-11-03 - 2013-11-09,+5%
2013-11-10 - 2013-11-16,+11%
2013-11-17 - 2013-11-23,+12%
2013-11-24 - 2013-11-30,+20%
2013-12-01 - 2013-12-07,+31%
2013-12-08 - 2013-12-14,+40%
2013-12-15 - 2013-12-21,+43%
2013-12-22 - 2013-12-28,+54%
2013-12-29 - 2014-01-04,+18%
2014-01-05 - 2014-01-11,+11%
2014-01-12 - 2014-01-18,+8%
2014-01-19 - 2014-01-25,+9%
2014-01-26 - 2014-02-01,+9%
2014-02-02 - 2014-02-08,+3%
2014-02-09 - 2014-02-15,+6%
2014-02-16 - 2014-02-22,+0%
2014-02-23 - 2014-03-01,+0%
2014-03-02 - 2014-03-08,+2%
2014-03-09 - 2014-03-15,-2%
2014-03-16 - 2014-03-22,-3%
2014-03-23 - 2014-03-29,+3%
2014-03-30 - 2014-04-05,+3%
2014-04-06 - 2014-04-12,+5%
2014-04-13 - 2014-04-19,+5%
2014-04-20 - 2014-04-26,+5%
2014-04-27 - 2014-05-03,+2%
2014-05-04 - 2014-05-10,+5%
2014-05-11 - 2014-05-17,+17%
2014-05-18 - 2014-05-24,+5%
2014-05-25 - 2014-05-31,+6%
2014-06-01 - 2014-06-07,+3%
2014-06-08 - 2014-06-14,+5%
2014-06-15 - 2014-06-21,+5%
2014-06-22 - 2014-06-28,+6%
2014-06-29 - 2014-07-05,+6%
2014-07-06 - 2014-07-12,+11%
2014-07-13 - 2014-07-19,+6%
2014-07-20 - 2014-07-26,+8%
2014-07-27 - 2014-08-02,+5%
2014-08-03 - 2014-08-09,+5%
2014-08-10 - 2014-08-16,+8%
2014-08-17 - 2014-08-23,+8%
2014-08-24 - 2014-08-30,+3%
2014-08-31 - 2014-09-06,+5%
2014-09-07 - 2014-09-13,+3%
2014-09-14 - 2014-09-20,+5%



Top searches
christmas,100
dog,80
cat,75
minecraft,55
fishing,35
dogs,35
birthday,35
pitbull,35
pony,30
wedding,30
cats,25
imagine dragons,25
christmas songs,25
my little pony,20
rainbow loom,20
happy birthday,20
puppies,20
faze,20
crochet,20
sail,20



Rising searches
pitbull timber,Breakout
timber pitbull kesha,Breakout
loom bracelet,+4,600%
timber,+4,400%
rainbow loom,+4,100%
rainbow loom bracelet,+3,800%
attack on titan,+600%
anaconda,+300%
watch dogs,+250%
gorilla,+110%



