Web Search interest
United States; Past 12 months

Interest over time
Week,Home & Garden
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+0%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,+0%
2013-10-13 - 2013-10-19,+1%
2013-10-20 - 2013-10-26,+0%
2013-10-27 - 2013-11-02,+0%
2013-11-03 - 2013-11-09,+2%
2013-11-10 - 2013-11-16,+10%
2013-11-17 - 2013-11-23,+4%
2013-11-24 - 2013-11-30,+13%
2013-12-01 - 2013-12-07,+5%
2013-12-08 - 2013-12-14,+0%
2013-12-15 - 2013-12-21,+0%
2013-12-22 - 2013-12-28,+4%
2013-12-29 - 2014-01-04,+11%
2014-01-05 - 2014-01-11,+4%
2014-01-12 - 2014-01-18,+5%
2014-01-19 - 2014-01-25,+2%
2014-01-26 - 2014-02-01,-1%
2014-02-02 - 2014-02-08,+0%
2014-02-09 - 2014-02-15,-5%
2014-02-16 - 2014-02-22,+5%
2014-02-23 - 2014-03-01,+4%
2014-03-02 - 2014-03-08,+6%
2014-03-09 - 2014-03-15,+7%
2014-03-16 - 2014-03-22,+5%
2014-03-23 - 2014-03-29,+6%
2014-03-30 - 2014-04-05,+8%
2014-04-06 - 2014-04-12,+10%
2014-04-13 - 2014-04-19,+10%
2014-04-20 - 2014-04-26,+11%
2014-04-27 - 2014-05-03,+14%
2014-05-04 - 2014-05-10,+14%
2014-05-11 - 2014-05-17,+14%
2014-05-18 - 2014-05-24,+20%
2014-05-25 - 2014-05-31,+20%
2014-06-01 - 2014-06-07,+17%
2014-06-08 - 2014-06-14,+16%
2014-06-15 - 2014-06-21,+14%
2014-06-22 - 2014-06-28,+14%
2014-06-29 - 2014-07-05,+19%
2014-07-06 - 2014-07-12,+19%
2014-07-13 - 2014-07-19,+17%
2014-07-20 - 2014-07-26,+18%
2014-07-27 - 2014-08-02,+17%
2014-08-03 - 2014-08-09,+17%
2014-08-10 - 2014-08-16,+11%
2014-08-17 - 2014-08-23,+12%
2014-08-24 - 2014-08-30,+8%
2014-08-31 - 2014-09-06,+12%
2014-09-07 - 2014-09-13,+2%
2014-09-14 - 2014-09-20,+11%



Top searches
home depot,100
furniture,95
lowes,80
ikea,40
bed bath beyond,30
pool,30
mattress,25
amc,25
amazon,25
pottery barn,25
carpet,20
walmart,20
vacuum,20
sears,15
target,15
refrigerator,15
led,15
box,15
tool,15
clock,15



Rising searches
chandelier sia,Breakout
bad grandpa,+800%
blue apron,+550%
couch tuner,+250%
vines,+120%
joss and main,+110%
wayfair,+90%
tommie copper,+80%
amazon customer service,+50%
bedbathandbeyond,+50%



