YouTube Search interest
United States; Past 12 months

Interest over time
Week,Internet & Telecom
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+4%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,-6%
2013-10-13 - 2013-10-19,-9%
2013-10-20 - 2013-10-26,-11%
2013-10-27 - 2013-11-02,-9%
2013-11-03 - 2013-11-09,-6%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,-10%
2013-11-24 - 2013-11-30,-13%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-14%
2013-12-15 - 2013-12-21,-10%
2013-12-22 - 2013-12-28,-10%
2013-12-29 - 2014-01-04,-7%
2014-01-05 - 2014-01-11,-6%
2014-01-12 - 2014-01-18,-13%
2014-01-19 - 2014-01-25,-10%
2014-01-26 - 2014-02-01,-13%
2014-02-02 - 2014-02-08,-13%
2014-02-09 - 2014-02-15,-11%
2014-02-16 - 2014-02-22,-10%
2014-02-23 - 2014-03-01,-6%
2014-03-02 - 2014-03-08,-7%
2014-03-09 - 2014-03-15,-9%
2014-03-16 - 2014-03-22,-6%
2014-03-23 - 2014-03-29,-1%
2014-03-30 - 2014-04-05,-6%
2014-04-06 - 2014-04-12,-7%
2014-04-13 - 2014-04-19,-9%
2014-04-20 - 2014-04-26,-10%
2014-04-27 - 2014-05-03,-13%
2014-05-04 - 2014-05-10,-11%
2014-05-11 - 2014-05-17,-11%
2014-05-18 - 2014-05-24,-11%
2014-05-25 - 2014-05-31,-9%
2014-06-01 - 2014-06-07,-7%
2014-06-08 - 2014-06-14,-10%
2014-06-15 - 2014-06-21,-10%
2014-06-22 - 2014-06-28,-4%
2014-06-29 - 2014-07-05,-6%
2014-07-06 - 2014-07-12,-1%
2014-07-13 - 2014-07-19,+7%
2014-07-20 - 2014-07-26,+0%
2014-07-27 - 2014-08-02,-4%
2014-08-03 - 2014-08-09,-3%
2014-08-10 - 2014-08-16,-3%
2014-08-17 - 2014-08-23,-3%
2014-08-24 - 2014-08-30,-7%
2014-08-31 - 2014-09-06,+0%
2014-09-07 - 2014-09-13,+43%
2014-09-14 - 2014-09-20,+20%



Top searches
iphone,100
voice,55
the voice,50
samsung,35
android,35
google,25
htc,25
iphone 6,25
htc one,15
iphone 5,15
nexus,15
unboxing,15
iphone 4,15
sky,15
orange,15
purge,10
iphone 5s,10
timeflies,10
annoying orange,10
voice 2014,10



Rising searches
htc m8,Breakout
htc one m8,Breakout
iphone 5c,Breakout
the voice 2014,Breakout
voice 2014,Breakout
diamond dimensions,+4,550%
skt,+4,500%
diamond minecart,+3,250%
iphone 5s,+2,550%
nexus 5,+900%



