Image Search interest
United States; Past 12 months

Interest over time
Week,Jobs & Education
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+7%
2013-09-29 - 2013-10-05,+1%
2013-10-06 - 2013-10-12,-1%
2013-10-13 - 2013-10-19,-7%
2013-10-20 - 2013-10-26,-6%
2013-10-27 - 2013-11-02,-13%
2013-11-03 - 2013-11-09,-6%
2013-11-10 - 2013-11-16,-6%
2013-11-17 - 2013-11-23,-8%
2013-11-24 - 2013-11-30,-23%
2013-12-01 - 2013-12-07,-10%
2013-12-08 - 2013-12-14,-12%
2013-12-15 - 2013-12-21,-14%
2013-12-22 - 2013-12-28,-42%
2013-12-29 - 2014-01-04,-34%
2014-01-05 - 2014-01-11,-8%
2014-01-12 - 2014-01-18,-5%
2014-01-19 - 2014-01-25,-13%
2014-01-26 - 2014-02-01,-10%
2014-02-02 - 2014-02-08,-12%
2014-02-09 - 2014-02-15,-16%
2014-02-16 - 2014-02-22,-13%
2014-02-23 - 2014-03-01,-9%
2014-03-02 - 2014-03-08,-13%
2014-03-09 - 2014-03-15,-14%
2014-03-16 - 2014-03-22,-7%
2014-03-23 - 2014-03-29,-8%
2014-03-30 - 2014-04-05,-8%
2014-04-06 - 2014-04-12,-9%
2014-04-13 - 2014-04-19,-15%
2014-04-20 - 2014-04-26,-6%
2014-04-27 - 2014-05-03,-3%
2014-05-04 - 2014-05-10,-5%
2014-05-11 - 2014-05-17,-2%
2014-05-18 - 2014-05-24,-5%
2014-05-25 - 2014-05-31,-7%
2014-06-01 - 2014-06-07,-12%
2014-06-08 - 2014-06-14,-19%
2014-06-15 - 2014-06-21,-22%
2014-06-22 - 2014-06-28,-22%
2014-06-29 - 2014-07-05,-31%
2014-07-06 - 2014-07-12,-24%
2014-07-13 - 2014-07-19,-23%
2014-07-20 - 2014-07-26,-22%
2014-07-27 - 2014-08-02,-17%
2014-08-03 - 2014-08-09,-12%
2014-08-10 - 2014-08-16,-3%
2014-08-17 - 2014-08-23,+13%
2014-08-24 - 2014-08-30,+16%
2014-08-31 - 2014-09-06,+8%
2014-09-07 - 2014-09-13,+9%
2014-09-14 - 2014-09-20,+8%



Top searches
school,100
university,55
college,35
resume,20
teacher,15
middle school,15
elementary,10
alphabet,10
cursive,10
students,10
job,10
math,10
preschool,10
classroom,10
jobs,5
teachers,5
summer,5
education,5
kindergarten,5
cover letter,5



Rising searches
elliot rodger,Breakout
ブルマ,Breakout
eden sher,+200%
als,+160%
the internship,+150%
color blind test,+120%
chalk paint,+80%
highschool dxd,+80%
auburn university,+60%
letter of recommendation,+60%



