Web Search interest
United States; Past 12 months

Interest over time
Week,Jobs & Education
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,-1%
2013-10-13 - 2013-10-19,-7%
2013-10-20 - 2013-10-26,-1%
2013-10-27 - 2013-11-02,+0%
2013-11-03 - 2013-11-09,-2%
2013-11-10 - 2013-11-16,-4%
2013-11-17 - 2013-11-23,-7%
2013-11-24 - 2013-11-30,-27%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-9%
2013-12-15 - 2013-12-21,-13%
2013-12-22 - 2013-12-28,-48%
2013-12-29 - 2014-01-04,-35%
2014-01-05 - 2014-01-11,+1%
2014-01-12 - 2014-01-18,+0%
2014-01-19 - 2014-01-25,+0%
2014-01-26 - 2014-02-01,-1%
2014-02-02 - 2014-02-08,-4%
2014-02-09 - 2014-02-15,-10%
2014-02-16 - 2014-02-22,-10%
2014-02-23 - 2014-03-01,-5%
2014-03-02 - 2014-03-08,-7%
2014-03-09 - 2014-03-15,-12%
2014-03-16 - 2014-03-22,-10%
2014-03-23 - 2014-03-29,-4%
2014-03-30 - 2014-04-05,-7%
2014-04-06 - 2014-04-12,-4%
2014-04-13 - 2014-04-19,-15%
2014-04-20 - 2014-04-26,-8%
2014-04-27 - 2014-05-03,-7%
2014-05-04 - 2014-05-10,-7%
2014-05-11 - 2014-05-17,-7%
2014-05-18 - 2014-05-24,-9%
2014-05-25 - 2014-05-31,-14%
2014-06-01 - 2014-06-07,-16%
2014-06-08 - 2014-06-14,-21%
2014-06-15 - 2014-06-21,-24%
2014-06-22 - 2014-06-28,-26%
2014-06-29 - 2014-07-05,-36%
2014-07-06 - 2014-07-12,-26%
2014-07-13 - 2014-07-19,-27%
2014-07-20 - 2014-07-26,-24%
2014-07-27 - 2014-08-02,-20%
2014-08-03 - 2014-08-09,-15%
2014-08-10 - 2014-08-16,-10%
2014-08-17 - 2014-08-23,+5%
2014-08-24 - 2014-08-30,+10%
2014-08-31 - 2014-09-06,+2%
2014-09-07 - 2014-09-13,+3%
2014-09-14 - 2014-09-20,-22%



Top searches
jobs,100
elementary,30
test,20
indeed,15
resume,15
blackboard,15
academy,15
summer,10
barnes and noble,10
rate my professor,5
interview questions,5
harvard,5
cover letter,5
masters,5
powerschool,5
careerbuilder,5
indeed jobs,5
ucla,5
jobs hiring,5
college board,5



Rising searches
als,+300%
uber,+250%
e okul,+150%
reading plus,+100%
my big campus,+70%
powerschool,+60%
glassdoor,+50%
infinite campus,+50%
teachers pay teachers,+50%
common app,+40%



