YouTube Search interest
United States; Past 12 months

Interest over time
Week,Jobs & Education
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-5%
2013-09-29 - 2013-10-05,-6%
2013-10-06 - 2013-10-12,-7%
2013-10-13 - 2013-10-19,-6%
2013-10-20 - 2013-10-26,+1%
2013-10-27 - 2013-11-02,+9%
2013-11-03 - 2013-11-09,-5%
2013-11-10 - 2013-11-16,-6%
2013-11-17 - 2013-11-23,-2%
2013-11-24 - 2013-11-30,-15%
2013-12-01 - 2013-12-07,-7%
2013-12-08 - 2013-12-14,-8%
2013-12-15 - 2013-12-21,-18%
2013-12-22 - 2013-12-28,-30%
2013-12-29 - 2014-01-04,-24%
2014-01-05 - 2014-01-11,-12%
2014-01-12 - 2014-01-18,-10%
2014-01-19 - 2014-01-25,-11%
2014-01-26 - 2014-02-01,-11%
2014-02-02 - 2014-02-08,-11%
2014-02-09 - 2014-02-15,-12%
2014-02-16 - 2014-02-22,-12%
2014-02-23 - 2014-03-01,-7%
2014-03-02 - 2014-03-08,-9%
2014-03-09 - 2014-03-15,-10%
2014-03-16 - 2014-03-22,-9%
2014-03-23 - 2014-03-29,-6%
2014-03-30 - 2014-04-05,-6%
2014-04-06 - 2014-04-12,-5%
2014-04-13 - 2014-04-19,-9%
2014-04-20 - 2014-04-26,-8%
2014-04-27 - 2014-05-03,-7%
2014-05-04 - 2014-05-10,-8%
2014-05-11 - 2014-05-17,-9%
2014-05-18 - 2014-05-24,-6%
2014-05-25 - 2014-05-31,+6%
2014-06-01 - 2014-06-07,-7%
2014-06-08 - 2014-06-14,-15%
2014-06-15 - 2014-06-21,-15%
2014-06-22 - 2014-06-28,-17%
2014-06-29 - 2014-07-05,-18%
2014-07-06 - 2014-07-12,-16%
2014-07-13 - 2014-07-19,-16%
2014-07-20 - 2014-07-26,-14%
2014-07-27 - 2014-08-02,-11%
2014-08-03 - 2014-08-09,-8%
2014-08-10 - 2014-08-16,-6%
2014-08-17 - 2014-08-23,-1%
2014-08-24 - 2014-08-30,+5%
2014-08-31 - 2014-09-06,+9%
2014-09-07 - 2014-09-13,+8%
2014-09-14 - 2014-09-20,+14%



Top searches
school,100
high,65
guitar,45
high school,45
college,30
substitute teacher,30
interview,25
vanoss,20
abc,20
summer,20
peele substitute teacher,20
key and peele,20
abc song,15
guitar lesson,15
schoolhouse rock,15
study,15
alphabet,10
monster high,10
test,10
study music,10



Rising searches
elliot rodger,Breakout
substitute teacher 3,+1,200%
vanoss,+750%
summer,+190%
elliott hulse,+160%
kindergarten songs,+160%
study music,+140%
the rad brad,+130%
rad brad,+120%
crash course,+100%



