Google Shopping interest
United States; Past 12 months

Interest over time
Week,Law & Government
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,+9%
2013-10-06 - 2013-10-12,+9%
2013-10-13 - 2013-10-19,+10%
2013-10-20 - 2013-10-26,+7%
2013-10-27 - 2013-11-02,+9%
2013-11-03 - 2013-11-09,+7%
2013-11-10 - 2013-11-16,-2%
2013-11-17 - 2013-11-23,-4%
2013-11-24 - 2013-11-30,-19%
2013-12-01 - 2013-12-07,-16%
2013-12-08 - 2013-12-14,-16%
2013-12-15 - 2013-12-21,-14%
2013-12-22 - 2013-12-28,-13%
2013-12-29 - 2014-01-04,-7%
2014-01-05 - 2014-01-11,+3%
2014-01-12 - 2014-01-18,+7%
2014-01-19 - 2014-01-25,+7%
2014-01-26 - 2014-02-01,+0%
2014-02-02 - 2014-02-08,+5%
2014-02-09 - 2014-02-15,-1%
2014-02-16 - 2014-02-22,-1%
2014-02-23 - 2014-03-01,+1%
2014-03-02 - 2014-03-08,+2%
2014-03-09 - 2014-03-15,+0%
2014-03-16 - 2014-03-22,+5%
2014-03-23 - 2014-03-29,+3%
2014-03-30 - 2014-04-05,+1%
2014-04-06 - 2014-04-12,+1%
2014-04-13 - 2014-04-19,+2%
2014-04-20 - 2014-04-26,+2%
2014-04-27 - 2014-05-03,+7%
2014-05-04 - 2014-05-10,+4%
2014-05-11 - 2014-05-17,+7%
2014-05-18 - 2014-05-24,+7%
2014-05-25 - 2014-05-31,+7%
2014-06-01 - 2014-06-07,+9%
2014-06-08 - 2014-06-14,+4%
2014-06-15 - 2014-06-21,+9%
2014-06-22 - 2014-06-28,+1%
2014-06-29 - 2014-07-05,+3%
2014-07-06 - 2014-07-12,+4%
2014-07-13 - 2014-07-19,+2%
2014-07-20 - 2014-07-26,+7%
2014-07-27 - 2014-08-02,+4%
2014-08-03 - 2014-08-09,+1%
2014-08-10 - 2014-08-16,+3%
2014-08-17 - 2014-08-23,+5%
2014-08-24 - 2014-08-30,+8%
2014-08-31 - 2014-09-06,+3%
2014-09-07 - 2014-09-13,+8%
2014-09-14 - 2014-09-20,+8%



Top searches
police,100
fire,70
army,65
security camera,45
insulation,40
mapquest,40
elsa,35
office,35
taser,25
unemployment,25
justice,20
safe,20
one direction,20
security cameras,15
bear,15
obama,15
baton,15
elsa frozen,15
surveillance camera,15
security camera system,15



Rising searches
elsa,Breakout
elsa costume,Breakout
elsa frozen,Breakout
dji,+900%
smartwatch,+250%
beeg,+200%
inmate search,+150%
child support,+90%
unemployment,+90%
justice,+50%



