News Search interest
United States; Past 12 months

Interest over time
Week,Law & Government
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-3%
2013-09-29 - 2013-10-05,+33%
2013-10-06 - 2013-10-12,+8%
2013-10-13 - 2013-10-19,+13%
2013-10-20 - 2013-10-26,-4%
2013-10-27 - 2013-11-02,-7%
2013-11-03 - 2013-11-09,+0%
2013-11-10 - 2013-11-16,-9%
2013-11-17 - 2013-11-23,+4%
2013-11-24 - 2013-11-30,-23%
2013-12-01 - 2013-12-07,-17%
2013-12-08 - 2013-12-14,+0%
2013-12-15 - 2013-12-21,-3%
2013-12-22 - 2013-12-28,-29%
2013-12-29 - 2014-01-04,-24%
2014-01-05 - 2014-01-11,-9%
2014-01-12 - 2014-01-18,+1%
2014-01-19 - 2014-01-25,-5%
2014-01-26 - 2014-02-01,+11%
2014-02-02 - 2014-02-08,-7%
2014-02-09 - 2014-02-15,-8%
2014-02-16 - 2014-02-22,-3%
2014-02-23 - 2014-03-01,+9%
2014-03-02 - 2014-03-08,-7%
2014-03-09 - 2014-03-15,-13%
2014-03-16 - 2014-03-22,-19%
2014-03-23 - 2014-03-29,-11%
2014-03-30 - 2014-04-05,-3%
2014-04-06 - 2014-04-12,-1%
2014-04-13 - 2014-04-19,-16%
2014-04-20 - 2014-04-26,-12%
2014-04-27 - 2014-05-03,-8%
2014-05-04 - 2014-05-10,-13%
2014-05-11 - 2014-05-17,-15%
2014-05-18 - 2014-05-24,-5%
2014-05-25 - 2014-05-31,-8%
2014-06-01 - 2014-06-07,-1%
2014-06-08 - 2014-06-14,+0%
2014-06-15 - 2014-06-21,-11%
2014-06-22 - 2014-06-28,-8%
2014-06-29 - 2014-07-05,-11%
2014-07-06 - 2014-07-12,-17%
2014-07-13 - 2014-07-19,-16%
2014-07-20 - 2014-07-26,-13%
2014-07-27 - 2014-08-02,-15%
2014-08-03 - 2014-08-09,-11%
2014-08-10 - 2014-08-16,-7%
2014-08-17 - 2014-08-23,+9%
2014-08-24 - 2014-08-30,-15%
2014-08-31 - 2014-09-06,-16%
2014-09-07 - 2014-09-13,-16%
2014-09-14 - 2014-09-20,-21%



Top searches
police,100
immigration,95
obama,75
news,60
unemployment,60
government,45
immigration reform,40
court,40
murder,40
shooting,40
unemployment extension,30
law,30
united states,30
senate,25
navy,25
government shutdown,25
military,20
california,20
fire,20
supreme court,20



Rising searches
unemployment extension 2014,Breakout
government shutdown,+1,800%
unemployment extension,+1,800%
government,+250%
ted cruz,+250%
unemployment,+250%
minimum wage,+160%
amanda knox,+80%
veterans,+70%
immigration news,+50%



