YouTube Search interest
United States; Past 12 months

Interest over time
Week,Online Communities
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,+4%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+0%
2013-10-27 - 2013-11-02,+0%
2013-11-03 - 2013-11-09,-1%
2013-11-10 - 2013-11-16,+4%
2013-11-17 - 2013-11-23,+0%
2013-11-24 - 2013-11-30,+2%
2013-12-01 - 2013-12-07,-1%
2013-12-08 - 2013-12-14,+2%
2013-12-15 - 2013-12-21,+2%
2013-12-22 - 2013-12-28,+5%
2013-12-29 - 2014-01-04,+11%
2014-01-05 - 2014-01-11,+7%
2014-01-12 - 2014-01-18,+7%
2014-01-19 - 2014-01-25,+13%
2014-01-26 - 2014-02-01,+10%
2014-02-02 - 2014-02-08,+6%
2014-02-09 - 2014-02-15,+7%
2014-02-16 - 2014-02-22,+8%
2014-02-23 - 2014-03-01,+6%
2014-03-02 - 2014-03-08,+2%
2014-03-09 - 2014-03-15,+8%
2014-03-16 - 2014-03-22,+6%
2014-03-23 - 2014-03-29,+5%
2014-03-30 - 2014-04-05,+8%
2014-04-06 - 2014-04-12,+10%
2014-04-13 - 2014-04-19,+8%
2014-04-20 - 2014-04-26,+12%
2014-04-27 - 2014-05-03,+14%
2014-05-04 - 2014-05-10,+18%
2014-05-11 - 2014-05-17,+12%
2014-05-18 - 2014-05-24,+11%
2014-05-25 - 2014-05-31,+16%
2014-06-01 - 2014-06-07,+14%
2014-06-08 - 2014-06-14,+13%
2014-06-15 - 2014-06-21,+17%
2014-06-22 - 2014-06-28,+13%
2014-06-29 - 2014-07-05,+18%
2014-07-06 - 2014-07-12,+16%
2014-07-13 - 2014-07-19,+19%
2014-07-20 - 2014-07-26,+20%
2014-07-27 - 2014-08-02,+16%
2014-08-03 - 2014-08-09,+18%
2014-08-10 - 2014-08-16,+17%
2014-08-17 - 2014-08-23,+14%
2014-08-24 - 2014-08-30,+12%
2014-08-31 - 2014-09-06,+8%
2014-09-07 - 2014-09-13,+8%
2014-09-14 - 2014-09-20,+12%



Top searches
gmod,100
lindsey stirling,55
lana del rey,50
play doh,50
watchmojo,50
facebook,40
russian,35
venturiantale,30
venturiantale gmod,30
club penguin,25
dating,20
skyblock,20
graser10,15
tumblr,15
mojo,15
hola soy german,15
secrets,15
wale,10
edm,10
gifs,10



Rising searches
watchmojo,+1,350%
play doh,+1,300%
graser10,+600%
edm,+350%
venturiantale,+300%
venturiantale gmod,+300%
mojo,+200%
hola soy german,+100%
gifs,+90%
gmod,+80%



