Web Search interest
United States; Past 12 months

Interest over time
Week,Reference
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+2%
2013-10-06 - 2013-10-12,+3%
2013-10-13 - 2013-10-19,+0%
2013-10-20 - 2013-10-26,+4%
2013-10-27 - 2013-11-02,+4%
2013-11-03 - 2013-11-09,+3%
2013-11-10 - 2013-11-16,+2%
2013-11-17 - 2013-11-23,+1%
2013-11-24 - 2013-11-30,-12%
2013-12-01 - 2013-12-07,-5%
2013-12-08 - 2013-12-14,+0%
2013-12-15 - 2013-12-21,-5%
2013-12-22 - 2013-12-28,-17%
2013-12-29 - 2014-01-04,-17%
2014-01-05 - 2014-01-11,-4%
2014-01-12 - 2014-01-18,-1%
2014-01-19 - 2014-01-25,-2%
2014-01-26 - 2014-02-01,+2%
2014-02-02 - 2014-02-08,+1%
2014-02-09 - 2014-02-15,+3%
2014-02-16 - 2014-02-22,+3%
2014-02-23 - 2014-03-01,+5%
2014-03-02 - 2014-03-08,+1%
2014-03-09 - 2014-03-15,+0%
2014-03-16 - 2014-03-22,+0%
2014-03-23 - 2014-03-29,-1%
2014-03-30 - 2014-04-05,-1%
2014-04-06 - 2014-04-12,+0%
2014-04-13 - 2014-04-19,-2%
2014-04-20 - 2014-04-26,+1%
2014-04-27 - 2014-05-03,+2%
2014-05-04 - 2014-05-10,+1%
2014-05-11 - 2014-05-17,-1%
2014-05-18 - 2014-05-24,-3%
2014-05-25 - 2014-05-31,-6%
2014-06-01 - 2014-06-07,-7%
2014-06-08 - 2014-06-14,-5%
2014-06-15 - 2014-06-21,-11%
2014-06-22 - 2014-06-28,-9%
2014-06-29 - 2014-07-05,-13%
2014-07-06 - 2014-07-12,-9%
2014-07-13 - 2014-07-19,-11%
2014-07-20 - 2014-07-26,-12%
2014-07-27 - 2014-08-02,-12%
2014-08-03 - 2014-08-09,-11%
2014-08-10 - 2014-08-16,-11%
2014-08-17 - 2014-08-23,-6%
2014-08-24 - 2014-08-30,-2%
2014-08-31 - 2014-09-06,-3%
2014-09-07 - 2014-09-13,+2%
2014-09-14 - 2014-09-20,-11%



Top searches
craigslist,100
google,40
maps,30
quotes,30
translate,20
definition,20
map,20
maps google,15
translate google,10
calendar,10
dictionary,10
bing,5
translator,5
ga,5
translation,5
thesaurus,5
white pages,5
directions,5
wikipedia,5
calendar 2014,5



Rising searches
olympics 2014,+1,500%
calendar 2014,+1,300%
thot,+1,050%
craigslist st. louis,+400%
google drive,+300%
add reminder,+250%
google maps directions,+110%
google directions,+70%
2013 movies,+60%
craigslist la,+60%



