Google Shopping interest
United States; Past 12 months

Interest over time
Week,Science
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-6%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,-7%
2013-10-13 - 2013-10-19,-14%
2013-10-20 - 2013-10-26,-10%
2013-10-27 - 2013-11-02,-10%
2013-11-03 - 2013-11-09,-9%
2013-11-10 - 2013-11-16,-18%
2013-11-17 - 2013-11-23,-10%
2013-11-24 - 2013-11-30,-29%
2013-12-01 - 2013-12-07,-17%
2013-12-08 - 2013-12-14,-17%
2013-12-15 - 2013-12-21,-20%
2013-12-22 - 2013-12-28,-29%
2013-12-29 - 2014-01-04,-25%
2014-01-05 - 2014-01-11,-4%
2014-01-12 - 2014-01-18,+4%
2014-01-19 - 2014-01-25,-4%
2014-01-26 - 2014-02-01,-7%
2014-02-02 - 2014-02-08,-9%
2014-02-09 - 2014-02-15,-15%
2014-02-16 - 2014-02-22,-16%
2014-02-23 - 2014-03-01,-9%
2014-03-02 - 2014-03-08,-14%
2014-03-09 - 2014-03-15,-9%
2014-03-16 - 2014-03-22,-7%
2014-03-23 - 2014-03-29,-11%
2014-03-30 - 2014-04-05,-10%
2014-04-06 - 2014-04-12,-6%
2014-04-13 - 2014-04-19,-10%
2014-04-20 - 2014-04-26,-9%
2014-04-27 - 2014-05-03,-11%
2014-05-04 - 2014-05-10,-8%
2014-05-11 - 2014-05-17,-11%
2014-05-18 - 2014-05-24,-5%
2014-05-25 - 2014-05-31,-17%
2014-06-01 - 2014-06-07,-17%
2014-06-08 - 2014-06-14,-20%
2014-06-15 - 2014-06-21,-22%
2014-06-22 - 2014-06-28,-23%
2014-06-29 - 2014-07-05,-26%
2014-07-06 - 2014-07-12,-21%
2014-07-13 - 2014-07-19,-26%
2014-07-20 - 2014-07-26,-26%
2014-07-27 - 2014-08-02,-29%
2014-08-03 - 2014-08-09,-17%
2014-08-10 - 2014-08-16,-17%
2014-08-17 - 2014-08-23,-15%
2014-08-24 - 2014-08-30,-2%
2014-08-31 - 2014-09-06,-6%
2014-09-07 - 2014-09-13,-4%
2014-09-14 - 2014-09-20,-6%



Top searches
windows,100
windows 7,85
math,40
robot,40
scale,40
science,35
thermos,20
drone,20
dinosaur,20
microscope,20
pond,20
skeleton,15
fitbit,15
lab,15
fitbit force,15
butterfly,15
scales,10
windows 7 professional,10
sand,10
animals,10



Rising searches
fitbit force,Breakout
fitbit,+2,950%
.net framework,+450%
divergent,+450%
robot dog,+300%
cool math,+190%
spider,+110%
drone,+100%
animals,+70%
math,+60%



