Web Search interest
United States; Past 12 months

Interest over time
Week,Science
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+3%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,+2%
2013-10-13 - 2013-10-19,+0%
2013-10-20 - 2013-10-26,-1%
2013-10-27 - 2013-11-02,-3%
2013-11-03 - 2013-11-09,-3%
2013-11-10 - 2013-11-16,-5%
2013-11-17 - 2013-11-23,-4%
2013-11-24 - 2013-11-30,-29%
2013-12-01 - 2013-12-07,-9%
2013-12-08 - 2013-12-14,-5%
2013-12-15 - 2013-12-21,-16%
2013-12-22 - 2013-12-28,-51%
2013-12-29 - 2014-01-04,-45%
2014-01-05 - 2014-01-11,-20%
2014-01-12 - 2014-01-18,-8%
2014-01-19 - 2014-01-25,-12%
2014-01-26 - 2014-02-01,-7%
2014-02-02 - 2014-02-08,-5%
2014-02-09 - 2014-02-15,-9%
2014-02-16 - 2014-02-22,-8%
2014-02-23 - 2014-03-01,+0%
2014-03-02 - 2014-03-08,-8%
2014-03-09 - 2014-03-15,-5%
2014-03-16 - 2014-03-22,-2%
2014-03-23 - 2014-03-29,-5%
2014-03-30 - 2014-04-05,-3%
2014-04-06 - 2014-04-12,+2%
2014-04-13 - 2014-04-19,+1%
2014-04-20 - 2014-04-26,+1%
2014-04-27 - 2014-05-03,-3%
2014-05-04 - 2014-05-10,-3%
2014-05-11 - 2014-05-17,-5%
2014-05-18 - 2014-05-24,-6%
2014-05-25 - 2014-05-31,-20%
2014-06-01 - 2014-06-07,-21%
2014-06-08 - 2014-06-14,-23%
2014-06-15 - 2014-06-21,-28%
2014-06-22 - 2014-06-28,-33%
2014-06-29 - 2014-07-05,-36%
2014-07-06 - 2014-07-12,-32%
2014-07-13 - 2014-07-19,-31%
2014-07-20 - 2014-07-26,-33%
2014-07-27 - 2014-08-02,-34%
2014-08-03 - 2014-08-09,-31%
2014-08-10 - 2014-08-16,-28%
2014-08-17 - 2014-08-23,-24%
2014-08-24 - 2014-08-30,-12%
2014-08-31 - 2014-09-06,-7%
2014-09-07 - 2014-09-13,+5%
2014-09-14 - 2014-09-20,-20%



Top searches
math,100
java,45
science,45
cool math,30
windows 7,30
calculator,25
periodic table,20
javascript,15
physics,15
dna,15
animals,15
algebra,15
coolmath,15
brain,15
study island,15
divergent,10
big bang theory,10
multiplication,10
gravity,10
wolfram,10



Rising searches
full moon 2014,Breakout
blood moon,+1,550%
divergent,+400%
lunar eclipse,+180%
bill nye,+90%
neil degrasse tyson,+90%
think through math,+80%
github,+50%
khan academy,+50%
bootstrap,+40%



