Google Shopping interest
United States; Past 12 months

Interest over time
Week,Shopping
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+1%
2013-09-29 - 2013-10-05,+0%
2013-10-06 - 2013-10-12,+2%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+6%
2013-10-27 - 2013-11-02,-2%
2013-11-03 - 2013-11-09,-5%
2013-11-10 - 2013-11-16,+1%
2013-11-17 - 2013-11-23,+2%
2013-11-24 - 2013-11-30,+15%
2013-12-01 - 2013-12-07,+13%
2013-12-08 - 2013-12-14,+14%
2013-12-15 - 2013-12-21,+7%
2013-12-22 - 2013-12-28,+3%
2013-12-29 - 2014-01-04,-5%
2014-01-05 - 2014-01-11,-7%
2014-01-12 - 2014-01-18,-11%
2014-01-19 - 2014-01-25,-9%
2014-01-26 - 2014-02-01,-13%
2014-02-02 - 2014-02-08,-9%
2014-02-09 - 2014-02-15,-8%
2014-02-16 - 2014-02-22,-10%
2014-02-23 - 2014-03-01,-8%
2014-03-02 - 2014-03-08,-8%
2014-03-09 - 2014-03-15,-10%
2014-03-16 - 2014-03-22,-11%
2014-03-23 - 2014-03-29,-13%
2014-03-30 - 2014-04-05,-14%
2014-04-06 - 2014-04-12,-13%
2014-04-13 - 2014-04-19,-13%
2014-04-20 - 2014-04-26,-13%
2014-04-27 - 2014-05-03,-11%
2014-05-04 - 2014-05-10,-13%
2014-05-11 - 2014-05-17,-17%
2014-05-18 - 2014-05-24,-17%
2014-05-25 - 2014-05-31,-15%
2014-06-01 - 2014-06-07,-17%
2014-06-08 - 2014-06-14,-15%
2014-06-15 - 2014-06-21,-15%
2014-06-22 - 2014-06-28,-18%
2014-06-29 - 2014-07-05,-14%
2014-07-06 - 2014-07-12,-17%
2014-07-13 - 2014-07-19,-14%
2014-07-20 - 2014-07-26,-14%
2014-07-27 - 2014-08-02,-14%
2014-08-03 - 2014-08-09,-13%
2014-08-10 - 2014-08-16,-11%
2014-08-17 - 2014-08-23,-13%
2014-08-24 - 2014-08-30,-13%
2014-08-31 - 2014-09-06,-14%
2014-09-07 - 2014-09-13,-8%
2014-09-14 - 2014-09-20,-3%



Top searches
shoes,100
nike,75
boots,75
dress,65
amazon,55
ebay,45
walmart,40
dresses,35
xbox,30
lego,25
target,20
adidas,20
ipod,20
diamond,15
xbox 360,15
nike shoes,15
north face,15
best buy,15
headphones,15
nikon,10



Rising searches
xbox one,+1,550%
ps4,+1,200%
kd,+180%
jordans,+120%
nerf,+80%
jordan shoes,+70%
minecraft,+70%
forever 21,+60%
timberland,+50%
costco,+40%



