News Search interest
United States; Past 12 months

Interest over time
Week,Shopping
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+10%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,+4%
2013-10-13 - 2013-10-19,+10%
2013-10-20 - 2013-10-26,+23%
2013-10-27 - 2013-11-02,+17%
2013-11-03 - 2013-11-09,+29%
2013-11-10 - 2013-11-16,+63%
2013-11-17 - 2013-11-23,+65%
2013-11-24 - 2013-11-30,+108%
2013-12-01 - 2013-12-07,+44%
2013-12-08 - 2013-12-14,+27%
2013-12-15 - 2013-12-21,+31%
2013-12-22 - 2013-12-28,+48%
2013-12-29 - 2014-01-04,+15%
2014-01-05 - 2014-01-11,+4%
2014-01-12 - 2014-01-18,-2%
2014-01-19 - 2014-01-25,-2%
2014-01-26 - 2014-02-01,+0%
2014-02-02 - 2014-02-08,-6%
2014-02-09 - 2014-02-15,+2%
2014-02-16 - 2014-02-22,-2%
2014-02-23 - 2014-03-01,+4%
2014-03-02 - 2014-03-08,-4%
2014-03-09 - 2014-03-15,-10%
2014-03-16 - 2014-03-22,-12%
2014-03-23 - 2014-03-29,-15%
2014-03-30 - 2014-04-05,-8%
2014-04-06 - 2014-04-12,-8%
2014-04-13 - 2014-04-19,-2%
2014-04-20 - 2014-04-26,+4%
2014-04-27 - 2014-05-03,+0%
2014-05-04 - 2014-05-10,-4%
2014-05-11 - 2014-05-17,-10%
2014-05-18 - 2014-05-24,-10%
2014-05-25 - 2014-05-31,-12%
2014-06-01 - 2014-06-07,-12%
2014-06-08 - 2014-06-14,-12%
2014-06-15 - 2014-06-21,-12%
2014-06-22 - 2014-06-28,-17%
2014-06-29 - 2014-07-05,-15%
2014-07-06 - 2014-07-12,-21%
2014-07-13 - 2014-07-19,-17%
2014-07-20 - 2014-07-26,-12%
2014-07-27 - 2014-08-02,-10%
2014-08-03 - 2014-08-09,-19%
2014-08-10 - 2014-08-16,-19%
2014-08-17 - 2014-08-23,-8%
2014-08-24 - 2014-08-30,-2%
2014-08-31 - 2014-09-06,+31%
2014-09-07 - 2014-09-13,-4%
2014-09-14 - 2014-09-20,-8%



Top searches
xbox,100
xbox one,75
ps4,50
walmart,40
amazon,40
playstation,35
playstation 4,30
netflix,25
ebay,25
black friday,25
joan rivers,20
nintendo,20
target,20
apple,15
best buy,15
xbox 360,15
nike,15
ps3,10
lego,10
sony,10



Rising searches
black friday 2013,Breakout
joan rivers,Breakout
lego movie,+2,950%
samsung s5,+2,100%
samsung galaxy s5,+2,000%
alibaba,+1,100%
sterling,+400%
boston red sox,+200%
xbox one,+190%
lego,+90%



