YouTube Search interest
United States; Past 12 months

Interest over time
Week,Shopping
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+0%
2013-09-29 - 2013-10-05,-1%
2013-10-06 - 2013-10-12,+1%
2013-10-13 - 2013-10-19,+6%
2013-10-20 - 2013-10-26,+2%
2013-10-27 - 2013-11-02,+4%
2013-11-03 - 2013-11-09,+0%
2013-11-10 - 2013-11-16,+7%
2013-11-17 - 2013-11-23,+10%
2013-11-24 - 2013-11-30,+20%
2013-12-01 - 2013-12-07,+12%
2013-12-08 - 2013-12-14,+7%
2013-12-15 - 2013-12-21,+6%
2013-12-22 - 2013-12-28,+18%
2013-12-29 - 2014-01-04,+12%
2014-01-05 - 2014-01-11,+13%
2014-01-12 - 2014-01-18,+2%
2014-01-19 - 2014-01-25,+7%
2014-01-26 - 2014-02-01,+1%
2014-02-02 - 2014-02-08,+6%
2014-02-09 - 2014-02-15,+7%
2014-02-16 - 2014-02-22,+6%
2014-02-23 - 2014-03-01,+6%
2014-03-02 - 2014-03-08,+7%
2014-03-09 - 2014-03-15,+7%
2014-03-16 - 2014-03-22,+8%
2014-03-23 - 2014-03-29,+8%
2014-03-30 - 2014-04-05,+7%
2014-04-06 - 2014-04-12,+8%
2014-04-13 - 2014-04-19,+8%
2014-04-20 - 2014-04-26,+8%
2014-04-27 - 2014-05-03,+7%
2014-05-04 - 2014-05-10,+8%
2014-05-11 - 2014-05-17,+6%
2014-05-18 - 2014-05-24,+4%
2014-05-25 - 2014-05-31,+8%
2014-06-01 - 2014-06-07,+7%
2014-06-08 - 2014-06-14,+14%
2014-06-15 - 2014-06-21,+12%
2014-06-22 - 2014-06-28,+14%
2014-06-29 - 2014-07-05,+14%
2014-07-06 - 2014-07-12,+16%
2014-07-13 - 2014-07-19,+13%
2014-07-20 - 2014-07-26,+16%
2014-07-27 - 2014-08-02,+13%
2014-08-03 - 2014-08-09,+13%
2014-08-10 - 2014-08-16,+14%
2014-08-17 - 2014-08-23,+19%
2014-08-24 - 2014-08-30,+17%
2014-08-31 - 2014-09-06,+13%
2014-09-07 - 2014-09-13,+8%
2014-09-14 - 2014-09-20,+6%



Top searches
how to make,100
lego,70
minecraft,60
full album,45
xbox 360,40
barbie,30
ps4,25
xbox one,20
minecraft xbox 360,20
tyler oakley,15
diamond minecart,15
transformers,15
selfie,15
shoes,15
lego movie,15
sweater weather,15
peppa pig,15
mumford and sons,15
rainbow loom,15
nike,15



Rising searches
selfie,Breakout
rainbow loom,+4,300%
diamond minecart,+3,250%
the diamond minecart,+2,850%
lego movie,+500%
peppa pig,+400%
replay,+250%
tyler oakley,+250%
sweater weather,+200%
xbox one,+90%



