Web Search interest
United States; Past 30 days

Interest over time
Day,Arts & Entertainment
2014-08-18,+0%
2014-08-19,+0%
2014-08-20,-1%
2014-08-21,+1%
2014-08-22,+4%
2014-08-23,+15%
2014-08-24,+18%
2014-08-25,+5%
2014-08-26,+2%
2014-08-27,-5%
2014-08-28,-2%
2014-08-29,+1%
2014-08-30,+13%
2014-08-31,+14%
2014-09-01,+14%
2014-09-02,-2%
2014-09-03,-6%
2014-09-04,-1%
2014-09-05,-4%
2014-09-06,+12%
2014-09-07,+11%
2014-09-08,-8%
2014-09-09,-7%
2014-09-10,-7%
2014-09-11,-4%
2014-09-12,+0%
2014-09-13,+14%
2014-09-14,+11%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
youtube,100
you,30
movies,25
music,20
netflix,20
google,20
facebook,10
games,10
nicki minaj,5
imdb,5
news,5
beyonce,5
disney,5
you tube,5
anime,5
taylor swift,5
robin williams,5
jennifer lawrence,5
instagram,5
worldstarhiphop,5



Rising searches
shake it off,Breakout
betty white,+1,600%
jennifer lawrence,+1,200%
kate upton,+350%
4chan,+300%
taylor swift,+300%
anaconda nicki minaj,+150%
sons of anarchy,+150%
ariana grande,+120%
doctor who,+100%



