News Search interest
United States; Past 30 days

Interest over time
Day,Autos & Vehicles
2014-08-19,+0%
2014-08-20,-11%
2014-08-21,-3%
2014-08-22,+0%
2014-08-23,+5%
2014-08-24,-11%
2014-08-25,-6%
2014-08-26,+6%
2014-08-27,+2%
2014-08-28,+5%
2014-08-29,-2%
2014-08-30,+3%
2014-08-31,+0%
2014-09-01,-11%
2014-09-02,-6%
2014-09-03,+6%
2014-09-04,+23%
2014-09-05,+52%
2014-09-06,+12%
2014-09-07,-5%
2014-09-08,+2%
2014-09-09,-8%
2014-09-10,-3%
2014-09-11,-11%
2014-09-12,+2%
2014-09-13,+3%
2014-09-14,-12%
2014-09-15,+3%
2014-09-16,+2%
2014-09-17, 
2014-09-18, 



Top searches
tesla,100
tesla motors,95
ford,60
toyota,50
car,50
alibaba,40
honda,40
cars,35
moto,30
auto,25
chevy,25
nissan,25
bmw,25
dodge,20
mazda,20
moto 360,20
boeing,20
alibaba group,20
mustang,20
chevrolet,20



Rising searches
chevrolet corvette,Breakout
alibaba group,+2,100%
alibaba,+550%
miata,+350%
alibaba ipo,+300%
corvette,+160%
moto 360,+160%
prius,+130%
moto,+110%
volvo,+90%



