Web Search interest
United States; Past 30 days

Interest over time
Day,Beauty & Fitness
2014-08-18,+0%
2014-08-19,+0%
2014-08-20,-3%
2014-08-21,-3%
2014-08-22,-3%
2014-08-23,+3%
2014-08-24,-2%
2014-08-25,-7%
2014-08-26,-4%
2014-08-27,-8%
2014-08-28,-7%
2014-08-29,-3%
2014-08-30,+1%
2014-08-31,+2%
2014-09-01,+3%
2014-09-02,-4%
2014-09-03,-6%
2014-09-04,+2%
2014-09-05,-3%
2014-09-06,+5%
2014-09-07,-1%
2014-09-08,-8%
2014-09-09,-8%
2014-09-10,-6%
2014-09-11,-8%
2014-09-12,-8%
2014-09-13,-1%
2014-09-14,-3%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
tattoo,100
tattoos,70
face,65
yoga,65
hairstyles,55
nails,50
makeup,45
joan rivers,35
fashion,25
crossfit,20
short hair,20
haircut,20
exercise,15
ulta,15
sephora,15
cincinnati,15
mac,15
short hairstyles,10
bob,10
nail salon,10



Rising searches
joan rivers,Breakout
joan rivers update,Breakout
kate upton photos,Breakout
melissa rivers,Breakout
kate upton,+450%
aesop,+300%
miss america,+140%
short hair cuts,+70%
tom ford,+70%
fashion,+50%



