Web Search interest
United States; Past 30 days

Interest over time
Day,Books & Literature
2014-08-18,+0%
2014-08-19,+1%
2014-08-20,+1%
2014-08-21,-1%
2014-08-22,-1%
2014-08-23,-6%
2014-08-24,+1%
2014-08-25,+1%
2014-08-26,+10%
2014-08-27,+10%
2014-08-28,+7%
2014-08-29,+4%
2014-08-30,-10%
2014-08-31,-1%
2014-09-01,+7%
2014-09-02,+11%
2014-09-03,+14%
2014-09-04,+15%
2014-09-05,+4%
2014-09-06,-6%
2014-09-07,+9%
2014-09-08,+15%
2014-09-09,+23%
2014-09-10,+19%
2014-09-11,+19%
2014-09-12,+9%
2014-09-13,-4%
2014-09-14,+5%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
quotes,100
book,40
books,30
fanfiction,15
quote,10
sparknotes,10
love quotes,10
game of thrones,10
writing,10
poems,10
mla,5
citation,5
harry potter,5
life quotes,5
barnes and noble,5
amazon books,5
funny quotes,5
fanfic,5
inspirational quotes,5
frases,5



Rising searches
leo tolstoy,+2,800%
kahoot,+550%
mla format,+250%
mla,+160%
easybib,+150%
sparknotes,+130%
irony,+110%
metaphor,+110%
analysis,+80%
apa format,+60%



