YouTube Search interest
United States; Past 30 days

Interest over time
Day,Books & Literature
2014-08-20,+0%
2014-08-21,-1%
2014-08-22,+0%
2014-08-23,-15%
2014-08-24,-11%
2014-08-25,+0%
2014-08-26,+9%
2014-08-27,+7%
2014-08-28,+1%
2014-08-29,+1%
2014-08-30,-11%
2014-08-31,-6%
2014-09-01,+5%
2014-09-02,+5%
2014-09-03,+13%
2014-09-04,+8%
2014-09-05,+13%
2014-09-06,-8%
2014-09-07,-2%
2014-09-08,+12%
2014-09-09,+13%
2014-09-10,+11%
2014-09-11,+7%
2014-09-12,-1%
2014-09-13,-5%
2014-09-14,-1%
2014-09-15,+13%
2014-09-16,+12%
2014-09-17,+18%
2014-09-18, 
2014-09-19, 



Top searches
audiobook,100
game of thrones,85
sam hunt,50
harry potter,45
sword art online,25
poetry,25
american authors,20
lorde,20
the hobbit,20
hopsin,20
pretty little liars,15
romeo,15
mice and men,15
magic school bus,15
jeff the killer,15
audio book,10
yes,10
postmodern jukebox,10
emmanuel,10
winnie the pooh,10



Rising searches
magic school bus,+120%
akame ga kill,+70%
postmodern jukebox,+60%
sam hunt,+60%
poems,+50%
shakespeare,+50%
lil dicky,+40%
pride and prejudice,+40%



