Image Search interest
United States; Past 30 days

Interest over time
Day,Business & Industrial
2014-08-19,+0%
2014-08-20,-1%
2014-08-21,+1%
2014-08-22,-2%
2014-08-23,-15%
2014-08-24,-16%
2014-08-25,+2%
2014-08-26,+9%
2014-08-27,+2%
2014-08-28,+2%
2014-08-29,-3%
2014-08-30,-17%
2014-08-31,-17%
2014-09-01,-21%
2014-09-02,-9%
2014-09-03,-4%
2014-09-04,-1%
2014-09-05,-4%
2014-09-06,-20%
2014-09-07,-18%
2014-09-08,-1%
2014-09-09,+4%
2014-09-10,+4%
2014-09-11,-1%
2014-09-12,+2%
2014-09-13,-16%
2014-09-14,-13%
2014-09-15,+2%
2014-09-16,+5%
2014-09-17, 
2014-09-18, 



Top searches
tree,100
water,65
wood,55
signs,50
paper,50
new,50
business,45
trees,35
space,35
iphone 5s,30
farm,30
steel,25
tractor,25
cow,25
plants,25
construction,25
john deere,25
trucks,25
bridge,20
forest,20



Rising searches
emmys 2014,Breakout
emmys,+1,100%
advertisement,+150%
graph paper,+150%
agriculture,+80%
recycling,+70%
bridges,+50%
amanda cerny,+40%
blue ivy,+40%
compass,+40%



