News Search interest
United States; Past 30 days

Interest over time
Day,Business & Industrial
2014-08-19,+0%
2014-08-20,+4%
2014-08-21,-4%
2014-08-22,-10%
2014-08-23,-25%
2014-08-24,-35%
2014-08-25,-2%
2014-08-26,+19%
2014-08-27,-8%
2014-08-28,-4%
2014-08-29,-20%
2014-08-30,-36%
2014-08-31,-42%
2014-09-01,-40%
2014-09-02,-23%
2014-09-03,-18%
2014-09-04,-20%
2014-09-05,-24%
2014-09-06,-40%
2014-09-07,-44%
2014-09-08,-27%
2014-09-09,-26%
2014-09-10,-21%
2014-09-11,-20%
2014-09-12,-21%
2014-09-13,-40%
2014-09-14,-44%
2014-09-15,-20%
2014-09-16,-13%
2014-09-17, 
2014-09-18, 



Top searches
ferguson,100
emmy,40
fb,40
market basket,35
energy,30
emmy awards,30
new,25
spacex,25
nasa,25
water,20
solar,20
business,20
space,20
oil,15
european central bank,15
california,10
natural gas,10
emmys,10
construction,10
aapl,10



Rising searches
emmy awards,+2,800%
mtv,+1,100%
emmy,+1,050%
emmys,+750%
steve ballmer,+750%
emmys 2014,+550%
european central bank,+550%
apple stock,+120%
bp,+110%
ferguson shooting,+90%



