Web Search interest
United States; Past 30 days

Interest over time
Day,Business & Industrial
2014-08-18,+0%
2014-08-19,-2%
2014-08-20,-2%
2014-08-21,-5%
2014-08-22,-6%
2014-08-23,-25%
2014-08-24,-27%
2014-08-25,+0%
2014-08-26,+4%
2014-08-27,+0%
2014-08-28,-3%
2014-08-29,-7%
2014-08-30,-25%
2014-08-31,-30%
2014-09-01,-26%
2014-09-02,-6%
2014-09-03,-4%
2014-09-04,-3%
2014-09-05,-9%
2014-09-06,-26%
2014-09-07,-30%
2014-09-08,-5%
2014-09-09,-4%
2014-09-10,-3%
2014-09-11,-4%
2014-09-12,-8%
2014-09-13,-25%
2014-09-14,-27%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
fb,100
usps,75
ups,60
water,55
fedex,55
paypal,40
usps tracking,35
staples,30
ups tracking,25
post office,25
fedex tracking,20
ferguson,20
office depot,20
walmart,15
adp,15
home depot,15
ebay,15
lowes,10
emmys,10
us airways,10



Rising searches
emmy winners 2014,+4,600%
emmy winners,+4,300%
emmy awards 2014,+1,450%
emmys,+1,200%
emmy awards,+1,100%
2014 emmys,+1,050%
mcgraw hill connect,+400%
uhaul truck rental,+200%
blue ivy,+190%
apple stock,+80%



