Web Search interest
United States; Past 30 days

Interest over time
Day,Computers & Electronics
2014-08-18,+0%
2014-08-19,+2%
2014-08-20,-1%
2014-08-21,+0%
2014-08-22,-5%
2014-08-23,-14%
2014-08-24,-12%
2014-08-25,-1%
2014-08-26,+5%
2014-08-27,+2%
2014-08-28,+2%
2014-08-29,-4%
2014-08-30,-14%
2014-08-31,-17%
2014-09-01,-12%
2014-09-02,+0%
2014-09-03,+2%
2014-09-04,+2%
2014-09-05,+0%
2014-09-06,-17%
2014-09-07,-13%
2014-09-08,-1%
2014-09-09,+20%
2014-09-10,+8%
2014-09-11,+0%
2014-09-12,+5%
2014-09-13,-13%
2014-09-14,-13%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
google,100
apple,80
mac,60
chrome,45
xbox,40
hp,35
microsoft,35
samsung,35
drive,30
itunes,25
paypal,25
adobe,25
amazon,20
dell,20
ipad,20
java,20
macbook,20
google chrome,20
docs,20
canon,20



Rising searches
iphone 6,+300%
blackboard,+190%
hooda math,+180%
galaxy note 4,+150%
ios 8,+150%
alibaba,+140%
google docs,+120%
docs,+100%
apple,+60%
google drive,+60%



