News Search interest
United States; Past 30 days

Interest over time
Day,Finance
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,+9%
2014-08-22,+2%
2014-08-23,-27%
2014-08-24,-47%
2014-08-25,-7%
2014-08-26,-1%
2014-08-27,-1%
2014-08-28,+8%
2014-08-29,-3%
2014-08-30,-35%
2014-08-31,-45%
2014-09-01,-40%
2014-09-02,-3%
2014-09-03,+4%
2014-09-04,-1%
2014-09-05,-12%
2014-09-06,-32%
2014-09-07,-42%
2014-09-08,-8%
2014-09-09,-9%
2014-09-10,+1%
2014-09-11,+2%
2014-09-12,+2%
2014-09-13,-30%
2014-09-14,-43%
2014-09-15,+2%
2014-09-16,+4%
2014-09-17, 
2014-09-18, 



Top searches
bank,100
stock,65
insurance,40
chase,30
mortgage,30
bank of america,25
wells fargo,20
tax,15
credit card,15
dollar,15
stocks,15
irs,10
stock market,10
finance,10
credit union,10
gold,10
banking,10
credit cards,10
oil,10
mortgage loans,10



Rising searches
jpmorgan chase,+350%
credit cards,+150%
interest rates,+60%
taxes,+60%
chase,+50%
citibank,+50%
us bank,+50%
accounting,+40%
chase bank,+40%
fidelity,+40%



