Web Search interest
United States; Past 30 days

Interest over time
Day,Finance
2014-08-18,+0%
2014-08-19,+1%
2014-08-20,-2%
2014-08-21,-3%
2014-08-22,+0%
2014-08-23,-28%
2014-08-24,-40%
2014-08-25,-2%
2014-08-26,-3%
2014-08-27,-5%
2014-08-28,-4%
2014-08-29,+3%
2014-08-30,-27%
2014-08-31,-42%
2014-09-01,-32%
2014-09-02,+2%
2014-09-03,+1%
2014-09-04,-2%
2014-09-05,-1%
2014-09-06,-30%
2014-09-07,-42%
2014-09-08,-5%
2014-09-09,-6%
2014-09-10,-4%
2014-09-11,-6%
2014-09-12,-2%
2014-09-13,-30%
2014-09-14,-41%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
bank,100
credit,65
wells fargo,35
chase,30
bank of america,25
capital one,15
calculator,15
loans,10
chase online,10
american express,10
pnc,5
money,5
citibank,5
credit one,5
usaa,5
chase bank,5
state farm,5
us bank,5
geico,5
fidelity,5



Rising searches
bankofamericaonline,+750%
edgenuity,+300%
regions bank online,+120%
synchrony bank,+120%
savings catcher,+80%
walmart savings catcher,+80%
wells fargo online,+60%
citi card,+50%
prudential retirement,+50%
santander consumer usa,+40%



