Image Search interest
United States; Past 30 days

Interest over time
Day,Food & Drink
2014-08-19,+0%
2014-08-20,+2%
2014-08-21,+0%
2014-08-22,+1%
2014-08-23,+0%
2014-08-24,-5%
2014-08-25,-4%
2014-08-26,-2%
2014-08-27,-3%
2014-08-28,+1%
2014-08-29,-3%
2014-08-30,+1%
2014-08-31,+2%
2014-09-01,-12%
2014-09-02,-10%
2014-09-03,-11%
2014-09-04,-6%
2014-09-05,+0%
2014-09-06,-4%
2014-09-07,-3%
2014-09-08,-6%
2014-09-09,-2%
2014-09-10,-2%
2014-09-11,-4%
2014-09-12,+2%
2014-09-13,-2%
2014-09-14,-1%
2014-09-15,-2%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 



Top searches
cake,100
chicken,60
food,55
cakes,45
pizza,45
chocolate,45
beer,40
cheese,40
candy,35
fruit,30
coffee,30
ice cream,25
frozen,20
birthday cake,20
cupcakes,20
salad,20
tea,20
bread,20
wine,20
cookies,15



Rising searches
pumpkin,+250%
apples,+100%
pretzel,+90%
mexican food,+60%
broccoli,+50%
grapes,+50%
hamburger,+50%
tamales,+50%
annabelle,+40%
apple,+40%



