Web Search interest
United States; Past 30 days

Interest over time
Day,Games
2014-08-18,+0%
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,+0%
2014-08-23,+17%
2014-08-24,+20%
2014-08-25,-4%
2014-08-26,-5%
2014-08-27,-4%
2014-08-28,-4%
2014-08-29,+1%
2014-08-30,+16%
2014-08-31,+20%
2014-09-01,+12%
2014-09-02,-7%
2014-09-03,-7%
2014-09-04,-7%
2014-09-05,-5%
2014-09-06,+13%
2014-09-07,+16%
2014-09-08,-8%
2014-09-09,-7%
2014-09-10,-6%
2014-09-11,-4%
2014-09-12,+0%
2014-09-13,+12%
2014-09-14,+13%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
games,100
lottery,55
game,45
xbox,35
pokemon,25
cool games,15
minecraft,15
cool math,15
cool math games,15
sims,15
ps4,15
xbox one,10
diablo,10
mario,10
free games,10
wow,10
diablo 3,10
powerball,10
destiny,10
mega millions,10



Rising searches
typing web,+550%
sims 4,+200%
diablo 3,+180%
abcya,+170%
cool math games,+150%
diablo,+150%
starfall,+150%
cool games,+140%
cool math,+140%
madden 15,+130%



