YouTube Search interest
United States; Past 30 days

Interest over time
Day,Games
2014-08-20,+0%
2014-08-21,-1%
2014-08-22,-1%
2014-08-23,+12%
2014-08-24,+10%
2014-08-25,-1%
2014-08-26,-1%
2014-08-27,-3%
2014-08-28,-6%
2014-08-29,-3%
2014-08-30,+12%
2014-08-31,+16%
2014-09-01,+12%
2014-09-02,+0%
2014-09-03,-6%
2014-09-04,-8%
2014-09-05,-7%
2014-09-06,+13%
2014-09-07,+15%
2014-09-08,-6%
2014-09-09,-8%
2014-09-10,-10%
2014-09-11,-13%
2014-09-12,-9%
2014-09-13,+12%
2014-09-14,+8%
2014-09-15,-8%
2014-09-16,-10%
2014-09-17,-10%
2014-09-18, 
2014-09-19, 



Top searches
gta,100
minecraft,95
games,85
mario,75
gta 5,70
pokemon,65
destiny,45
mods,45
call of duty,45
sonic,45
xbox 360,40
skyrim,40
madden 15,40
game grumps,35
halo,35
smash bros,35
sims 4,30
ps4,30
black ops 2,30
destiny gameplay,25



Rising searches
madden 15,+250%
destiny gameplay,+200%
madden 15 gameplay,+200%
sims 4,+200%
destiny,+190%
the sims 4,+180%
diablo 3,+120%
fifa 15,+100%
oculus rift,+70%
smash bros,+70%



